variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
no_factor_pressure,17_64,-0.49315973667957974,-0.46407656623185745,-0.017146417808688308,-0.002080863656394861,-0.17930488796141597,-0.1347946904280728,87088,0.6798180937767029,0.49008092284202576,2.9404854774475098
no_factor_pressure,2_4,-0.05826710386449829,-0.05162241887905605,-0.002949852507374451,0.0034414945919370695,-0.0004916420845624386,-0.0068829891838742,2034,0.13421829044818878,0.07890855520963669,0.47345131635665894
no_factor_pressure,5_16,-0.3142472777521014,-0.24729131175468477,-0.016492633431303916,-0.0025076069113547546,-0.014186257808063655,-0.026235093696763245,14675,0.4665758013725281,0.2665190100669861,1.599114179611206
no_factor_pressure,65_plus,-0.3463664888031387,-0.39813732465948365,-0.005130500654158876,0.0005356503598267725,-0.057067321317743225,-0.017432404960357806,39352,0.5910754203796387,0.42430710792541504,2.5458426475524902
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.4441247520651731,-0.4084431839059342,-0.015980295660096955,-0.0029362903662765536,-0.1788252915072052,-0.12898447547308478,87088,0.6304197907447815,0.43271365761756897,2.5962820053100586
primary_only_pressure,2_4,-0.05211809581661242,-0.04523107177974428,-0.002949852507374451,0.0034414945919370695,-0.0004916420845624386,-0.007866273352999054,2034,0.12635201215744019,0.06973123550415039,0.41838741302490234
primary_only_pressure,5_16,-0.2945434655750254,-0.21904599659284496,-0.015348048128287384,-0.0030259713786118803,-0.013822827938671265,-0.02480408858603078,14675,0.44183987379074097,0.2363884150981903,1.4183305501937866
primary_only_pressure,65_plus,-0.29103660888433724,-0.28389916649725555,-0.004838673650212955,0.000461281091063324,-0.05691612186122836,-0.0162888798536287,39352,0.5187538266181946,0.3108566999435425,1.8651403188705444
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
secondary_only_pressure,17_64,-0.0014438810501824495,-0.001917600587911128,6.998773263444669e-05,-4.893181600723086e-05,-0.0001357049288511769,0.00025261804152121314,87088,0.024503950029611588,0.005997764877974987,0.03598658740520477
secondary_only_pressure,2_4,-0.007279769258959123,-0.007374631268436516,0.0006555227794167173,0.0,0.0014749262536873154,0.001474926253687281,2034,0.07079645991325378,0.028269419446587563,0.16961652040481567
secondary_only_pressure,5_16,-0.003914279325905934,-0.0025553662691651935,0.0011889070611393882,-0.0013324458997371995,0.0011409913198669498,-0.002998296422487279,14675,0.052470188587903976,0.01905735395848751,0.11434412002563477
secondary_only_pressure,65_plus,7.622712795818387e-05,-0.0003938808700956198,0.00014348490258753177,-6.538605681590762e-05,0.00045868069336695017,0.0009148200853832389,39352,0.020558040589094162,0.005844683852046728,0.035068102180957794
