variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,1,167,0.8378378378378378,0.8378378378378378,0.8378378378378378,155,30,30,0.9191616766467066,334,0.2155688622754491,0.0,0.0,0.9700598802395209,0.1377245508982036,1.1077844311377245,1.1077844311377245
normal,17_64,87088,0.7124483385683584,0.694327787504162,0.7032713584786605,64644,26091,28459,0.8636896013227999,174176,0.8690252582565265,0.015575651400691117,0.19598072499060293,0.5129753812235899,0.5289018004776778,1.0418771817012678,1.0418771817012678
normal,2_4,2034,0.672663668165917,0.6373106060606061,0.6545100899586676,1346,655,766,0.8970009832841691,4068,0.921583087512291,0.0014749262536873156,0.0009832841691248771,0.8682399213372665,0.11553588987217306,0.9837758112094396,0.9837758112094396
normal,5_16,14675,0.7429937574711117,0.7163070619117741,0.7294063956710238,11188,3870,4431,0.8866439522998296,29350,0.8843151714838229,0.02175537561057147,0.016737081203861498,0.7844633730834752,0.24163543441226576,1.0260988074957411,1.0260988074957411
normal,65_plus,39352,0.6173791520051908,0.5918562645039355,0.6043483571515817,24739,15332,17060,0.8357389713356373,78704,0.8443933086504041,0.0037995098207154678,0.06875668229374915,0.6044673714169546,0.4138036186216711,1.0182709900386258,1.0182709900386258
no_factor_pressure,1,167,0.8378378378378378,0.8378378378378378,0.8378378378378378,155,30,30,0.9191616766467066,334,0.2155688622754491,0.0,0.0,0.9700598802395209,0.1377245508982036,1.1077844311377245,1.1077844311377245
no_factor_pressure,17_64,87088,0.22887234796698566,0.19419352759846623,0.21011162179908077,18080,60916,75023,0.3996130350909425,174176,0.8518788404478382,0.013494787744296256,0.016675837029186964,0.8789270622818298,0.028155428991365056,0.907082491273195,0.907082491273195
no_factor_pressure,2_4,2034,0.6149974836436839,0.5785984848484849,0.5962429860941693,1222,765,890,0.845378564405113,4068,0.9186332350049166,0.004916420845624385,0.0004916420845624386,0.928220255653884,0.048672566371681415,0.9768928220255654,0.9768928220255654
no_factor_pressure,5_16,14675,0.4285422204048252,0.4025865932518087,0.41515911791892246,6288,8385,9331,0.6393526405451448,29350,0.867822538052519,0.019247768699216714,0.0025508233957978422,0.9672231686541738,0.032640545144804085,0.9998637137989779,0.9998637137989779
no_factor_pressure,65_plus,39352,0.2658880284372223,0.250532309385392,0.25798186834844306,10472,28913,31327,0.4376016466761537,78704,0.8392628079962452,0.00433516018054224,0.011689360976005921,0.9747153893067697,0.026123195771498273,1.000838585078268,1.000838585078268
primary_only_pressure,1,167,0.8378378378378378,0.8378378378378378,0.8378378378378378,155,30,30,0.9191616766467066,334,0.2155688622754491,0.0,0.0,0.9700598802395209,0.1377245508982036,1.1077844311377245,1.1077844311377245
primary_only_pressure,17_64,87088,0.2813136776433297,0.24021782327100094,0.2591466064134874,22365,57137,70738,0.4552464174168657,174176,0.8530449625964296,0.012639361034414563,0.017155433483397726,0.8193895829505787,0.09350312327760427,0.912892706228183,0.912892706228183
primary_only_pressure,2_4,2034,0.6216624685138539,0.584280303030303,0.6023919941420551,1234,751,878,0.8517699115044248,4068,0.9186332350049166,0.004916420845624385,0.0004916420845624386,0.9169124877089478,0.058997050147492625,0.9759095378564405,0.9759095378564405
primary_only_pressure,5_16,14675,0.4485504287464271,0.4219860426403739,0.4348629300959984,6591,8103,9028,0.6675979557069847,29350,0.8689671233555355,0.01872940423195959,0.002914253265190233,0.9351277683134582,0.06616695059625213,1.0012947189097103,1.0012947189097103
primary_only_pressure,65_plus,39352,0.3227238143545524,0.30443312040957915,0.3133117482672445,12725,26705,29074,0.5518398048383818,78704,0.8395546350001911,0.004260790911778792,0.01184056043252079,0.8471233990648506,0.15485871112014638,1.001982110184997,1.001982110184997
secondary_only_pressure,1,167,0.8378378378378378,0.8378378378378378,0.8378378378378378,155,30,30,0.9191616766467066,334,0.2155688622754491,0.0,0.0,0.9700598802395209,0.1377245508982036,1.1077844311377245,1.1077844311377245
secondary_only_pressure,17_64,87088,0.71089833291096,0.6929851884472036,0.7018274774284781,64519,26238,28584,0.8617720007348888,174176,0.869095245989161,0.015526719584683886,0.19584502006175175,0.5114826382509645,0.5306471614918243,1.042129799742789,1.042129799742789
secondary_only_pressure,2_4,2034,0.6646706586826348,0.6306818181818182,0.6472303206997084,1332,672,780,0.8896263520157326,4068,0.9222386102917077,0.0014749262536873156,0.0024582104228121925,0.8638151425762045,0.12143559488692232,0.9852507374631269,0.9852507374631269
secondary_only_pressure,5_16,14675,0.7401092313840416,0.7114411934182726,0.7254921163451179,11112,3902,4507,0.8840885860306644,29350,0.8855040785449623,0.02042292971083427,0.017878072523728448,0.7697444633730834,0.25335604770017034,1.0231005110732538,1.0231005110732538
secondary_only_pressure,65_plus,39352,0.6171740593911287,0.5921912007464294,0.6044245842795399,24753,15354,17046,0.8353450904655417,78704,0.8445367935529916,0.00373412376389956,0.0692153629871161,0.6032476113031104,0.41593819882089855,1.019185810124009,1.019185810124009
