variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,0,0.0,0.0,-0.047904191616766456,0.0,0.0,0.0,167,0.359281450510025,0.05988023802638054,0.359281450510025
no_factor_pressure,1,-0.036951501154734404,-0.05778120184899843,0.0,0.0,0.0,0.018489984591679498,649,0.11093990504741669,0.07935284823179245,0.4761171042919159
no_factor_pressure,17_64,-0.10685173801734843,-0.15679211910367685,-0.003848666595966388,-0.0016248691921688383,-0.007459229172845305,0.05652973492169466,85371,0.44181278347969055,0.24423009157180786,1.4653805494308472
no_factor_pressure,2_4,-0.028698688876271472,-0.04961538461538462,0.09730769230769198,-0.010961538461538462,-0.004615384615384616,0.034615384615384714,2600,0.4438461661338806,0.17589743435382843,1.055384635925293
no_factor_pressure,5_16,-0.09073077516757252,-0.15063315063315058,0.0072561219414487566,-0.025175438462151537,-0.013777363777363626,0.07415107415107414,15873,0.6245196461677551,0.2949557900428772,1.7697347402572632
no_factor_pressure,65_plus,-0.11541192903909171,-0.2262650041390728,-0.0020980223890586513,0.0006982682375112829,-0.004929993586810989,0.1286734271523179,38656,0.442234069108963,0.2703806161880493,1.622283697128296
primary_only_pressure,0,0.0,0.0,-0.047904191616766456,0.0,0.0,0.0,167,0.359281450510025,0.05988023802638054,0.359281450510025
primary_only_pressure,1,-0.036951501154734404,-0.05778120184899843,0.0,0.0,0.0,0.018489984591679498,649,0.11093990504741669,0.07935284823179245,0.4761171042919159
primary_only_pressure,17_64,-0.10685173801734843,-0.15679211910367685,-0.003848666595966388,-0.0016248691921688383,-0.007459229172845305,0.05652973492169466,85371,0.44181278347969055,0.24423009157180786,1.4653805494308472
primary_only_pressure,2_4,-0.028698688876271472,-0.04961538461538462,0.09730769230769198,-0.010961538461538462,-0.004615384615384616,0.034615384615384714,2600,0.4438461661338806,0.17589743435382843,1.055384635925293
primary_only_pressure,5_16,-0.09073077516757252,-0.15063315063315058,0.0072561219414487566,-0.025175438462151537,-0.013777363777363626,0.07415107415107414,15873,0.6245196461677551,0.2949557900428772,1.7697347402572632
primary_only_pressure,65_plus,-0.11541192903909171,-0.2262650041390728,-0.0020980223890586513,0.0006982682375112829,-0.004929993586810989,0.1286734271523179,38656,0.442234069108963,0.2703806161880493,1.622283697128296
secondary_only_pressure,0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,649,0.0,0.0,0.0
secondary_only_pressure,17_64,0.0,0.0,0.0,0.0,0.0,0.0,85371,0.0,0.0,0.0
secondary_only_pressure,2_4,0.0,0.0,0.0,0.0,0.0,0.0,2600,0.0,0.0,0.0
secondary_only_pressure,5_16,0.0,0.0,0.0,0.0,0.0,0.0,15873,0.0,0.0,0.0
secondary_only_pressure,65_plus,0.0,0.0,0.0,0.0,0.0,0.0,38656,0.0,0.0,0.0
