variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,0,0.0002076286216054872,0.0,0.0359281437125748,0.0,0.0,-0.03592814371257491,167,0.11976047605276108,0.030938124284148216,0.185628741979599
no_factor_pressure,1,-0.03511799212804428,-0.05778120184899849,-0.018489984591679498,0.0,0.0,0.0046224961479198745,649,0.10323574393987656,0.08808423578739166,0.5285053849220276
no_factor_pressure,17_64,-0.1333184404597044,-0.18192946082393313,-0.010867271719000038,0.001829025634921047,-0.013747854322069208,0.1021424137002026,85371,0.4730997681617737,0.2859460413455963,1.7156763076782227
no_factor_pressure,2_4,-0.03027040679527803,-0.05807692307692308,-0.012660256410256365,0.0003846153846153845,-0.007307692307692308,0.028076923076923,2600,0.3673076927661896,0.15929487347602844,0.9557692408561707
no_factor_pressure,5_16,-0.11161698270710257,-0.1649341649341649,-0.0180700184196666,-0.0004879403480802123,-0.017825867825867665,0.11856611856611854,15873,0.5894286036491394,0.31596630811691284,1.895797848701477
no_factor_pressure,65_plus,-0.1318198836239485,-0.2307791804635762,-0.0032441672123587617,0.0015189419353366699,-0.0006524933676868433,0.18473199503311255,38656,0.5107874870300293,0.3096155822277069,1.8576935529708862
primary_only_pressure,0,0.0002076286216054872,0.0,0.0359281437125748,0.0,0.0,-0.03592814371257491,167,0.11976047605276108,0.030938124284148216,0.185628741979599
primary_only_pressure,1,-0.03511799212804428,-0.05778120184899849,-0.018489984591679498,0.0,0.0,0.0046224961479198745,649,0.10323574393987656,0.08808423578739166,0.5285053849220276
primary_only_pressure,17_64,-0.1333184404597044,-0.18192946082393313,-0.010867271719000038,0.001829025634921047,-0.013747854322069208,0.1021424137002026,85371,0.4730997681617737,0.2859460413455963,1.7156763076782227
primary_only_pressure,2_4,-0.03027040679527803,-0.05807692307692308,-0.012660256410256365,0.0003846153846153845,-0.007307692307692308,0.028076923076923,2600,0.3673076927661896,0.15929487347602844,0.9557692408561707
primary_only_pressure,5_16,-0.11161698270710257,-0.1649341649341649,-0.0180700184196666,-0.0004879403480802123,-0.017825867825867665,0.11856611856611854,15873,0.5894286036491394,0.31596630811691284,1.895797848701477
primary_only_pressure,65_plus,-0.1318198836239485,-0.2307791804635762,-0.0032441672123587617,0.0015189419353366699,-0.0006524933676868433,0.18473199503311255,38656,0.5107874870300293,0.3096155822277069,1.8576935529708862
secondary_only_pressure,0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,649,0.0,0.0,0.0
secondary_only_pressure,17_64,0.0,0.0,0.0,0.0,0.0,0.0,85371,0.0,0.0,0.0
secondary_only_pressure,2_4,0.0,0.0,0.0,0.0,0.0,0.0,2600,0.0,0.0,0.0
secondary_only_pressure,5_16,0.0,0.0,0.0,0.0,0.0,0.0,15873,0.0,0.0,0.0
secondary_only_pressure,65_plus,0.0,0.0,0.0,0.0,0.0,0.0,38656,0.0,0.0,0.0
