state,density_bucket,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,1,distinct,2,30,1.0,1.0,1.0,1.0,1.0,,,0.0009109139442443626
post_gold,1,itemRequiresStatement,4,10,1.0,1.0,1.0,1.0,1.0,,,0.004478043317794778
post_gold,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.0004720836877822876
post_gold,1,type,5,281,1.0,1.0,1.0,1.0,1.0,,,0.024006530059189957
post_gold,1,valueRequiresStatement,15,1,1.0,1.0,1.0,1.0,1.0,,,0.20420914888381958
post_gold,1,valueType,16,12,1.0,1.0,1.0,1.0,1.0,,,0.0745552579561869
post_gold,17_64,conflictWith,3,716955,0.7363335216296699,0.7861399948392855,0.9143401352116665,0.7829075727669828,0.843534874228277,0.8970319792815324,0.9608123717783869,0.20162729746807648
post_gold,17_64,distinct,2,325073,1.0,1.0,1.0,1.0,1.0,,,0.0041885470719330705
post_gold,17_64,inverse,9,26984,0.7214275126000593,0.7206863326415653,0.721253709198813,0.998869882365028,0.8376591207702415,0.9712639569688511,0.9880500164948147,0.26520594132231956
post_gold,17_64,itemRequiresStatement,4,213007,0.9842775120066477,0.9842775120066477,0.9842775120066477,1.0,0.9920764671784983,0.6693265808613833,0.9908014884292163,0.002115199289946636
post_gold,17_64,oneOf,12,1562,1.0,1.0,1.0,1.0,1.0,,,0.2327497508782278
post_gold,17_64,single,0,579377,0.9987969836565829,0.9987969836565829,0.9987969836565829,1.0,0.9993981297984469,0.7177378779925501,0.9994654663411869,0.0022044293146047333
post_gold,17_64,symmetric,14,145,1.0,0.4689655172413793,1.0,0.4689655172413793,0.6384976525821596,,,0.4997443774650837
post_gold,17_64,type,5,199854,0.9750517878050977,0.9750517878050977,0.9750517878050977,1.0,0.9873683250490218,0.7142418074959498,0.9877471408190454,0.013626440736942075
post_gold,17_64,valueRequiresStatement,15,4948,0.9909054163298302,0.9909054163298302,0.9909054163298302,1.0,0.9954319358440766,0.5409205248487321,0.9920605373629701,0.21094997692175615
post_gold,17_64,valueType,16,143916,0.8998374051530059,0.8998374051530059,0.8998374051530059,1.0,0.9472783330956012,0.7605312655290205,0.9512724531178411,0.02149765417400158
post_gold,2_4,conflictWith,3,453,0.3973509933774834,0.6070640176600441,0.5102040816326531,0.2777777777777778,0.3597122302158273,0.6938135938135938,0.5017779953605541,0.3518814184347262
post_gold,2_4,distinct,2,1316,1.0,1.0,1.0,1.0,1.0,,,0.0005696434923943006
post_gold,2_4,inverse,9,16,1.0,1.0,1.0,1.0,1.0,,,0.26391105726361275
post_gold,2_4,itemRequiresStatement,4,1216,1.0,1.0,1.0,1.0,1.0,,,0.003348840939763398
post_gold,2_4,oneOf,12,3,1.0,1.0,1.0,1.0,1.0,,,0.2928101817766825
post_gold,2_4,single,0,1382,1.0,1.0,1.0,1.0,1.0,,,0.000269441847863261
post_gold,2_4,symmetric,14,2,1.0,0.0,0.0,0.0,0.0,,,0.499381959438324
post_gold,2_4,type,5,1112,1.0,1.0,1.0,1.0,1.0,,,0.014952737221614942
post_gold,2_4,valueRequiresStatement,15,4,1.0,1.0,1.0,1.0,1.0,,,0.21185761690139773
post_gold,2_4,valueType,16,291,1.0,1.0,1.0,1.0,1.0,,,0.08186437891111345
post_gold,5_16,conflictWith,3,27942,0.5857132631880324,0.5401546059695083,0.7729318640384913,0.3042893804228278,0.4366697356306721,0.7385048290863094,0.7663971316917663,0.2418218573903188
post_gold,5_16,distinct,2,13303,1.0,1.0,1.0,1.0,1.0,,,0.003412812193255653
post_gold,5_16,inverse,9,775,0.9909677419354839,0.9806451612903225,0.9908735332464146,0.9895833333333334,0.990228013029316,0.7072172619047619,0.9960104070281702,0.2775021837219116
post_gold,5_16,itemRequiresStatement,4,17803,0.991855305285626,0.991855305285626,0.991855305285626,1.0,0.9959110008177998,0.8505079264649021,0.9980588660940621,0.002495309439146343
post_gold,5_16,oneOf,12,237,1.0,1.0,1.0,1.0,1.0,,,0.2534517356615026
post_gold,5_16,single,0,20056,0.9992022337455125,0.9992022337455125,0.9992022337455125,1.0,0.9996009577015162,0.6804593937125749,0.9996737944910934,0.0014183553099918079
post_gold,5_16,symmetric,14,21,1.0,0.38095238095238093,1.0,0.38095238095238093,0.5517241379310345,,,0.499696128425144
post_gold,5_16,type,5,14969,0.9813614803928118,0.9813614803928118,0.9813614803928118,1.0,0.9905930746147881,0.8051334509370478,0.9949687939949644,0.01338581052091829
post_gold,5_16,valueRequiresStatement,15,343,0.9854227405247813,0.9854227405247813,0.9854227405247813,1.0,0.9926578560939794,0.6402366863905324,0.9920557234102803,0.17996500879960575
post_gold,5_16,valueType,16,10434,0.9167145869273529,0.9167145869273529,0.9167145869273529,1.0,0.9565478273913696,0.5031923180804585,0.9145395380862389,0.014986776073979358
post_gold,65_plus,conflictWith,3,1083176,0.6873795209642755,0.7786573927044174,0.8924031740503967,0.7709431027744164,0.8272385389787493,0.8361807109925938,0.8994372881529656,0.23715254740205505
post_gold,65_plus,distinct,2,313707,1.0,1.0,1.0,1.0,1.0,,,0.0075160445589525626
post_gold,65_plus,inverse,9,4024,0.981858846918489,0.9811133200795229,0.9818453121114151,0.9992406985573272,0.9904666332162569,0.7961171612527436,0.9912643118640695,0.2522323350116581
post_gold,65_plus,itemRequiresStatement,4,461472,0.9942748422439498,0.9942748422439498,0.9942748422439498,1.0,0.997129203239806,0.6076888092731929,0.9954180283029207,0.01899315501762739
post_gold,65_plus,oneOf,12,501,0.998003992015968,0.998003992015968,0.998003992015968,1.0,0.9990009990009989,0.164,0.9964144976694113,0.2677000504053995
post_gold,65_plus,single,0,750004,0.9991773377208655,0.9991773377208655,0.9991773377208655,1.0,0.9995884995975033,0.6061141125570295,0.9993821036311406,0.007081123849775238
post_gold,65_plus,symmetric,14,114,0.9736842105263158,0.38596491228070173,0.9767441860465116,0.3783783783783784,0.5454545454545454,0.4864864864864865,0.9771976237605127,0.47337635044465987
post_gold,65_plus,type,5,525428,0.9287875788880684,0.9287875788880684,0.9287875788880684,1.0,0.9630791789145672,0.7281562389979471,0.9693005648829423,0.009718941027685979
post_gold,65_plus,valueRequiresStatement,15,5415,0.9957525392428439,0.9957525392428439,0.9957525392428439,1.0,0.9978717497918016,0.7779560701844923,0.9983974667781814,0.2303735447282166
post_gold,65_plus,valueType,16,305148,0.8664582432131294,0.8664582432131294,0.8664582432131294,1.0,0.928451784403718,0.855280230672879,0.9646398210072724,0.07731114144902619
pre,1,distinct,2,30,1.0,1.0,1.0,1.0,1.0,,,0.00017958879470825195
pre,1,itemRequiresStatement,4,10,1.0,1.0,1.0,1.0,1.0,,,0.0018337905406952126
pre,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.0001198500394821167
pre,1,type,5,284,1.0,1.0,1.0,1.0,1.0,,,0.012063549647868488
pre,1,valueRequiresStatement,15,1,1.0,1.0,1.0,1.0,1.0,,,0.06348484754562378
pre,1,valueType,16,7,1.0,1.0,1.0,1.0,1.0,,,0.06375504391533987
pre,17_64,conflictWith,3,716955,0.7512800663918935,0.7523526581166182,0.9415025774960628,0.7147766386822964,0.8126214965205296,0.8623880129783631,0.9540400367061895,0.13230094689159627
pre,17_64,distinct,2,127049,1.0,1.0,1.0,1.0,1.0,,,0.009356752713456304
pre,17_64,inverse,9,26984,0.09609398161873703,0.9767269493032908,0.9919879819729595,0.7639799460084844,0.8631808278867102,0.97962895217352,0.935126772889216,0.8930631197207295
pre,17_64,itemRequiresStatement,4,212997,0.9875679000173712,0.987455222374024,0.9875664990397844,0.9998859039025619,0.9936880199942362,0.487911616141777,0.9882217220797093,0.004114600359674222
pre,17_64,oneOf,12,1562,0.9916773367477593,0.9916773367477593,0.9916773367477593,1.0,0.9958212793314047,0.6697124695833541,0.9962493225671708,0.06256040472837782
pre,17_64,single,0,579377,0.9984362513527462,0.9984345253608617,0.998436248653724,0.999998271304871,0.9992166495227781,0.7248729764931845,0.9993545658251431,0.0029433874604314026
pre,17_64,symmetric,14,145,1.0,0.013793103448275862,1.0,0.013793103448275862,0.027210884353741496,,,0.496164171243536
pre,17_64,type,5,199465,0.9769784172661871,0.9769683904444388,0.9769781864305661,0.9999897369055744,0.9883500365170819,0.6116506341725177,0.984940203744812,0.02560817172174524
pre,17_64,valueRequiresStatement,15,4953,0.9909145972138098,0.9907126993741167,0.9909127625201939,0.9997962510187449,0.9953346855983773,0.5811645386217512,0.993213075468006,0.10514052511585284
pre,17_64,valueType,16,143538,0.8999986066407502,0.9013989326868146,0.9015576236987803,0.9995897324746098,0.9480461795422425,0.7118588999487083,0.9563822908578314,0.03559464611743648
pre,2_4,conflictWith,3,453,0.5143487858719646,0.5960264900662252,0.6068376068376068,0.6094420600858369,0.6081370449678801,0.603843152555599,0.5271123110467268,0.2880630288725394
pre,2_4,distinct,2,1400,1.0,1.0,1.0,1.0,1.0,,,0.0005783585139683689
pre,2_4,inverse,9,16,1.0,0.0,0.0,0.0,0.0,,,0.33819145895540714
pre,2_4,itemRequiresStatement,4,1218,1.0,1.0,1.0,1.0,1.0,,,0.0013109757786705567
pre,2_4,oneOf,12,3,1.0,1.0,1.0,1.0,1.0,,,0.14063646396001178
pre,2_4,single,0,1382,1.0,1.0,1.0,1.0,1.0,,,0.00011955104584981946
pre,2_4,symmetric,14,2,1.0,0.0,0.0,0.0,0.0,,,0.49678440392017365
pre,2_4,type,5,1138,1.0,1.0,1.0,1.0,1.0,,,0.007003781037087642
pre,2_4,valueRequiresStatement,15,4,1.0,1.0,1.0,1.0,1.0,,,0.10108649730682373
pre,2_4,valueType,16,306,1.0,1.0,1.0,1.0,1.0,,,0.07748146871336149
pre,5_16,conflictWith,3,27942,0.5957698088898432,0.4838236346718202,0.7417391304347826,0.2049618549888869,0.32117475408292934,0.6316792859398792,0.712766699270323,0.1364152028025579
pre,5_16,distinct,2,11931,1.0,1.0,1.0,1.0,1.0,,,0.0024687866434828266
pre,5_16,inverse,9,775,0.22193548387096773,0.8361290322580646,1.0,0.2616279069767442,0.4147465437788019,0.9856724131281577,0.9554148152760136,0.7451824459012959
pre,5_16,itemRequiresStatement,4,17664,0.9963768115942029,0.9962069746376812,0.996376196138384,0.9998295454545455,0.998099883724228,0.7220632102272726,0.9984138002926362,0.0008576672045054259
pre,5_16,oneOf,12,237,0.9957805907172996,0.9957805907172996,0.9957805907172996,1.0,0.9978858350951374,0.847457627118644,0.999303483243376,0.1061952036141343
pre,5_16,single,0,20056,0.9970083765456721,0.9970083765456721,0.9970083765456721,1.0,0.9985019474682912,0.7227670534106821,0.9987425952820852,0.0007665933848712016
pre,5_16,symmetric,14,21,1.0,0.0,0.0,0.0,0.0,,,0.49616321069853647
pre,5_16,type,5,14643,0.9765758382845046,0.9765075462678413,0.9765742384920093,0.9999300699300699,0.9881141593531891,0.7876033150522948,0.9935771987486764,0.00952003710722414
pre,5_16,valueRequiresStatement,15,346,0.9855491329479769,0.9855491329479769,0.9855491329479769,1.0,0.992721979621543,0.790615835777126,0.9957347527888867,0.06379806702536656
pre,5_16,valueType,16,9966,0.9171182018864138,0.91701786072647,0.9171098845960863,0.999890590809628,0.9567129023815756,0.5106958080120377,0.9186856939146356,0.0290294389318755
pre,65_plus,conflictWith,3,1083176,0.6930600382578639,0.7603990487233838,0.8816927720393275,0.7556846488505486,0.8138400888299749,0.8194031600251003,0.8872483497215096,0.16527891470875156
pre,65_plus,distinct,2,256908,1.0,0.9999922151120245,1.0,0.9999922151120245,0.9999961075408611,,,0.013233723524711815
