variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,0,167,0.012658227848101266,0.010810810810810811,0.011661807580174929,2,156,183,0.45209580838323354,334,0.2634730538922156,0.0,0.0,0.9341317365269461,0.011976047904191617,0.9461077844311377,0.9461077844311377
normal,1,649,0.0375,0.03582089552238806,0.0366412213740458,24,616,646,0.50231124807396,1298,0.9537750385208013,0.0,0.0,0.8813559322033898,0.10477657935285054,0.9861325115562404,0.9861325115562404
normal,17_64,85371,0.343517881464216,0.2678835393695183,0.30102247979033625,24465,46754,66862,0.7006009066310573,170742,0.8823084218380415,0.005064798099580699,0.2790676901157263,0.3543357814714599,0.4798936406976608,0.8342294221691207,0.8342294221691207
normal,2_4,2600,0.03420523138832998,0.03177570093457944,0.03294573643410853,85,2400,2590,0.5117307692307692,5200,0.939070512820513,0.0014102564102564101,0.007307692307692308,0.8403846153846154,0.11538461538461539,0.9557692307692308,0.9557692307692308
normal,5_16,15873,0.16251997260899337,0.12637557685481007,0.14218671992011978,2136,11007,14766,0.5597240597240597,31746,0.887226462925764,0.007192730968954745,0.03211113211113196,0.5378315378315378,0.29017829017829017,0.828009828009828,0.828009828009828
normal,65_plus,38656,0.23756117455138662,0.1702428213059256,0.1983457003816523,6990,22434,34069,0.6250129346026491,77312,0.8478730799421609,0.0005462956833649311,0.0651585540234295,0.45149524006622516,0.3096802566225166,0.7611754966887417,0.7611754966887417
no_factor_pressure,0,167,0.013157894736842105,0.010810810810810811,0.011869436201780416,2,150,183,0.45209580838323354,334,0.2994011976047904,0.0,0.0,0.8922155688622755,0.017964071856287425,0.9101796407185628,0.9101796407185628
no_factor_pressure,1,649,0.0015552099533437014,0.0014925373134328358,0.0015232292460015233,1,642,669,0.4445300462249615,1298,0.9352850539291218,0.0,0.0,0.963020030816641,0.02773497688751926,0.9907550077041603,0.9907550077041603
no_factor_pressure,17_64,85371,0.17964948273058207,0.15724813034480492,0.16770403933063185,14361,65578,76966,0.5186714458071242,170742,0.8714411501190414,0.006893823734501746,0.2653198357936571,0.6697707652481522,0.2666010706211711,0.9363718358693233,0.9363718358693233
no_factor_pressure,2_4,2600,0.002736512900703675,0.002616822429906542,0.002675329638830499,7,2551,2668,0.45365384615384613,5200,0.9264102564102566,0.0017948717948717947,0.0,0.9676923076923077,0.016153846153846154,0.9838461538461538,0.9838461538461538
no_factor_pressure,5_16,15873,0.03247920133111481,0.028872322802035263,0.030569737213017197,488,14537,16414,0.3947898947898948,31746,0.8691564445060974,0.006704790620874533,0.014285264285264294,0.88004788004788,0.06652806652806653,0.9465759465759466,0.9465759465759466
no_factor_pressure,65_plus,38656,0.0706139751128128,0.06288511653961373,0.0665258167577038,2582,33983,38477,0.39423375413907286,77312,0.8446289127298021,0.002065237618701601,0.06450606065574266,0.878880380794702,0.06702711092715231,0.9459074917218543,0.9459074917218543
primary_only_pressure,0,167,0.013157894736842105,0.010810810810810811,0.011869436201780416,2,150,183,0.45209580838323354,334,0.2994011976047904,0.0,0.0,0.8922155688622755,0.017964071856287425,0.9101796407185628,0.9101796407185628
primary_only_pressure,1,649,0.0015552099533437014,0.0014925373134328358,0.0015232292460015233,1,642,669,0.4445300462249615,1298,0.9352850539291218,0.0,0.0,0.963020030816641,0.02773497688751926,0.9907550077041603,0.9907550077041603
primary_only_pressure,17_64,85371,0.17964948273058207,0.15724813034480492,0.16770403933063185,14361,65578,76966,0.5186714458071242,170742,0.8714411501190414,0.006893823734501746,0.2653198357936571,0.6697707652481522,0.2666010706211711,0.9363718358693233,0.9363718358693233
primary_only_pressure,2_4,2600,0.002736512900703675,0.002616822429906542,0.002675329638830499,7,2551,2668,0.45365384615384613,5200,0.9264102564102566,0.0017948717948717947,0.0,0.9676923076923077,0.016153846153846154,0.9838461538461538,0.9838461538461538
primary_only_pressure,5_16,15873,0.03247920133111481,0.028872322802035263,0.030569737213017197,488,14537,16414,0.3947898947898948,31746,0.8691564445060974,0.006704790620874533,0.014285264285264294,0.88004788004788,0.06652806652806653,0.9465759465759466,0.9465759465759466
primary_only_pressure,65_plus,38656,0.0706139751128128,0.06288511653961373,0.0665258167577038,2582,33983,38477,0.39423375413907286,77312,0.8446289127298021,0.002065237618701601,0.06450606065574266,0.878880380794702,0.06702711092715231,0.9459074917218543,0.9459074917218543
secondary_only_pressure,0,167,0.012658227848101266,0.010810810810810811,0.011661807580174929,2,156,183,0.45209580838323354,334,0.2634730538922156,0.0,0.0,0.9341317365269461,0.011976047904191617,0.9461077844311377,0.9461077844311377
secondary_only_pressure,1,649,0.0375,0.03582089552238806,0.0366412213740458,24,616,646,0.50231124807396,1298,0.9537750385208013,0.0,0.0,0.8813559322033898,0.10477657935285054,0.9861325115562404,0.9861325115562404
secondary_only_pressure,17_64,85371,0.343517881464216,0.2678835393695183,0.30102247979033625,24465,46754,66862,0.7006009066310573,170742,0.8823084218380415,0.005064798099580699,0.2790676901157263,0.3543357814714599,0.4798936406976608,0.8342294221691207,0.8342294221691207
secondary_only_pressure,2_4,2600,0.03420523138832998,0.03177570093457944,0.03294573643410853,85,2400,2590,0.5117307692307692,5200,0.939070512820513,0.0014102564102564101,0.007307692307692308,0.8403846153846154,0.11538461538461539,0.9557692307692308,0.9557692307692308
secondary_only_pressure,5_16,15873,0.16251997260899337,0.12637557685481007,0.14218671992011978,2136,11007,14766,0.5597240597240597,31746,0.887226462925764,0.007192730968954745,0.03211113211113196,0.5378315378315378,0.29017829017829017,0.828009828009828,0.828009828009828
secondary_only_pressure,65_plus,38656,0.23756117455138662,0.1702428213059256,0.1983457003816523,6990,22434,34069,0.6250129346026491,77312,0.8478730799421609,0.0005462956833649311,0.0651585540234295,0.45149524006622516,0.3096802566225166,0.7611754966887417,0.7611754966887417
