index,constraint_id,constraint_type,density_bucket,candidate_count,selected_candidate_index,oracle_candidate_index,non_vacuous_oracle_candidate_index,selected_slots,oracle_slots,non_vacuous_oracle_slots,selected_primary_satisfied,oracle_primary_satisfied,non_vacuous_oracle_primary_satisfied,selected_gfr,oracle_gfr,non_vacuous_oracle_gfr,selected_srr,oracle_srr,non_vacuous_oracle_srr,selected_regressions,oracle_regressions,non_vacuous_oracle_regressions,selected_disruption,oracle_disruption,non_vacuous_oracle_disruption,selected_safe,oracle_safe,selected_non_vacuous_safe,oracle_non_vacuous_safe,selected_focus_deleted,oracle_focus_deleted,selected_vacuous_satisfaction_improvement,oracle_vacuous_satisfaction_improvement
2,71311,type,1,55,,54,,"[74195, 29762, 30002, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.99,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,0
3,53610,type,1,44,,31,,"[74195, 0, 0, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9130434782608695,0.92,,0.0,0.0,,0,0,,0,1,,0,1,0,0,0,1,0,1
5,64487,distinct,1,40,,21,22,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,0.45,0.45,0.42105263157894735,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
19,51759,type,1,44,,40,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.99,0.9913793103448276,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
20,59405,distinct,1,41,,21,26,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,0.967741935483871,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
22,51435,valueType,1,45,,40,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.35714285714285715,0.5428571428571428,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
24,65737,valueRequiresStatement,1,42,,35,4,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.5535714285714286,0.576271186440678,0.5535714285714286,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
25,57267,distinct,1,40,,22,22,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
26,62202,valueRequiresStatement,1,41,,26,15,"[74215, 0, 0, 74195, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 98872, 0, 0, 0]",0,1,1,0.5070422535211268,0.5903614457831325,0.5211267605633803,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
28,51756,valueType,1,45,,4,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 98872, 30419, 48698]",,0,1,,0.9004149377593361,0.9191919191919192,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
33,56980,oneOf,1,66,,62,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.29411764705882354,0.42105263157894735,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
46,66339,valueRequiresStatement,1,42,,38,4,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.8695652173913043,0.9206349206349206,0.8695652173913043,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
47,50362,valueType,1,43,,10,,"[74195, 29762, 74195, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]",,1,1,,0.7,0.95,,0.3333333333333333,0.0,,6,0,,1,0,,0,1,0,0,0,0,0,0
