variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,0,0.0001014138784892699,0.0,0.029940119760479056,0.0,0.0,-0.0359281437125748,167,0.053892213851213455,0.009980039671063423,0.05988023802638054
no_factor_pressure,1,-0.03680981595092025,-0.06009244992295837,-0.016949152542372836,0.0,0.0,0.0,649,0.129429891705513,0.09322033822536469,0.5593220591545105
no_factor_pressure,17_64,-0.13182461534484097,-0.18055897201625837,-0.009625988749628167,0.001247266808338028,-0.014244723729164022,0.09521968818451232,85371,0.4441203773021698,0.2720244526863098,1.6321467161178589
no_factor_pressure,2_4,-0.029496545599550512,-0.05076923076923073,-0.007051282051282137,-0.0026923076923076935,-0.006923076923076923,0.02923076923076917,2600,0.32846152782440186,0.14743590354919434,0.8846153616905212
no_factor_pressure,5_16,-0.12286031506702835,-0.1696906696906697,-0.019239860498601047,-0.003277509746041224,-0.024257424257424123,0.09494109494109493,15873,0.5949726104736328,0.3186648190021515,1.9119888544082642
no_factor_pressure,65_plus,-0.1379302211003354,-0.2352286837748344,-0.003071457614036488,0.0013893468289573727,-0.007102943502139615,0.1549824089403974,38656,0.492963582277298,0.3045409023761749,1.8272454738616943
primary_only_pressure,0,0.0001014138784892699,0.0,0.029940119760479056,0.0,0.0,-0.0359281437125748,167,0.053892213851213455,0.009980039671063423,0.05988023802638054
primary_only_pressure,1,-0.03680981595092025,-0.06009244992295837,-0.016949152542372836,0.0,0.0,0.0,649,0.129429891705513,0.09322033822536469,0.5593220591545105
primary_only_pressure,17_64,-0.13182461534484097,-0.18055897201625837,-0.009625988749628167,0.001247266808338028,-0.014244723729164022,0.09521968818451232,85371,0.4441203773021698,0.2720244526863098,1.6321467161178589
primary_only_pressure,2_4,-0.029496545599550512,-0.05076923076923073,-0.007051282051282137,-0.0026923076923076935,-0.006923076923076923,0.02923076923076917,2600,0.32846152782440186,0.14743590354919434,0.8846153616905212
primary_only_pressure,5_16,-0.12286031506702835,-0.1696906696906697,-0.019239860498601047,-0.003277509746041224,-0.024257424257424123,0.09494109494109493,15873,0.5949726104736328,0.3186648190021515,1.9119888544082642
primary_only_pressure,65_plus,-0.1379302211003354,-0.2352286837748344,-0.003071457614036488,0.0013893468289573727,-0.007102943502139615,0.1549824089403974,38656,0.492963582277298,0.3045409023761749,1.8272454738616943
secondary_only_pressure,0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,649,0.0,0.0,0.0
secondary_only_pressure,17_64,0.0,0.0,0.0,0.0,0.0,0.0,85371,0.0,0.0,0.0
secondary_only_pressure,2_4,0.0,0.0,0.0,0.0,0.0,0.0,2600,0.0,0.0,0.0
secondary_only_pressure,5_16,0.0,0.0,0.0,0.0,0.0,0.0,15873,0.0,0.0,0.0
secondary_only_pressure,65_plus,0.0,0.0,0.0,0.0,0.0,0.0,38656,0.0,0.0,0.0
