variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,0,167,0.006172839506172839,0.005405405405405406,0.005763688760806917,1,161,184,0.44610778443113774,334,0.23353293413173654,0.0,0.0,0.9640718562874252,0.005988023952095809,0.9700598802395209,0.9700598802395209
normal,1,649,0.03785488958990536,0.03582089552238806,0.03680981595092025,24,610,646,0.4899845916795069,1298,0.9476117103235747,0.0,0.0,0.8921417565485362,0.0847457627118644,0.9768875192604006,0.9768875192604006
normal,17_64,85371,0.33736980800602334,0.23550538176004907,0.27738120570805846,21508,42244,69819,0.6868433074463225,170742,0.8821493365708382,0.0035764263349644205,0.2779508680560179,0.2896768223401389,0.45708730130840686,0.7467641236485457,0.7467641236485457
normal,2_4,2600,0.03417772416566144,0.03177570093457944,0.032932971716389,85,2402,2590,0.4973076923076923,5200,0.9330769230769235,0.004102564102564103,0.006923076923076923,0.8565384615384616,0.1,0.9565384615384616,0.9565384615384616
normal,5_16,15873,0.1597154072620216,0.11554845580404687,0.1340885684860968,1953,10275,14949,0.5455805455805456,31746,0.88165612116661,0.010022257225054435,0.030132180132179998,0.5286965286965287,0.24166824166824166,0.7703647703647704,0.7703647703647704
normal,65_plus,38656,0.23822923816060398,0.16907377188923256,0.1977805951651733,6942,22198,34117,0.6312215438741722,77312,0.8476730575213598,0.0004210682490516211,0.0652333199862071,0.4523230546357616,0.30150558774834435,0.753828642384106,0.753828642384106
no_factor_pressure,0,167,0.00641025641025641,0.005405405405405406,0.005865102639296187,1,155,184,0.44610778443113774,334,0.2634730538922156,0.0,0.0,0.9281437125748503,0.005988023952095809,0.9341317365269461,0.9341317365269461
no_factor_pressure,1,649,0.0,0.0,0.0,0,634,670,0.42989214175654855,1298,0.9306625577812019,0.0,0.0,0.9738058551617874,0.0030816640986132513,0.9768875192604006,0.9768875192604006
no_factor_pressure,17_64,85371,0.16524533604151306,0.1300601136575164,0.1455565903632175,11878,60003,79449,0.5062843354300641,170742,0.87252334782121,0.0048236931433024485,0.26370614432685385,0.5802790174649471,0.26170479436811095,0.841983811833058,0.841983811833058
no_factor_pressure,2_4,2600,0.00351150994927819,0.0033644859813084112,0.003436426116838488,9,2554,2666,0.44653846153846155,5200,0.9260256410256413,0.0014102564102564101,0.0,0.9753846153846154,0.010384615384615384,0.9857692307692307,0.9857692307692307
no_factor_pressure,5_16,15873,0.012522752093192573,0.010176310495799314,0.011228253419068445,172,13563,16730,0.3758898758898759,31746,0.8624162606680089,0.006744747479013211,0.005874755874755873,0.8415548415548415,0.02375102375102375,0.8653058653058653,0.8653058653058653
no_factor_pressure,65_plus,38656,0.06489994591671173,0.055529847292919945,0.059850374064837904,2280,32851,38779,0.39599286009933776,77312,0.8446015999073233,0.0018104150780089937,0.058130376484067485,0.8486392798013245,0.060171771523178805,0.9088110513245033,0.9088110513245033
primary_only_pressure,0,167,0.00641025641025641,0.005405405405405406,0.005865102639296187,1,155,184,0.44610778443113774,334,0.2634730538922156,0.0,0.0,0.9281437125748503,0.005988023952095809,0.9341317365269461,0.9341317365269461
primary_only_pressure,1,649,0.0,0.0,0.0,0,634,670,0.42989214175654855,1298,0.9306625577812019,0.0,0.0,0.9738058551617874,0.0030816640986132513,0.9768875192604006,0.9768875192604006
primary_only_pressure,17_64,85371,0.16524533604151306,0.1300601136575164,0.1455565903632175,11878,60003,79449,0.5062843354300641,170742,0.87252334782121,0.0048236931433024485,0.26370614432685385,0.5802790174649471,0.26170479436811095,0.841983811833058,0.841983811833058
primary_only_pressure,2_4,2600,0.00351150994927819,0.0033644859813084112,0.003436426116838488,9,2554,2666,0.44653846153846155,5200,0.9260256410256413,0.0014102564102564101,0.0,0.9753846153846154,0.010384615384615384,0.9857692307692307,0.9857692307692307
primary_only_pressure,5_16,15873,0.012522752093192573,0.010176310495799314,0.011228253419068445,172,13563,16730,0.3758898758898759,31746,0.8624162606680089,0.006744747479013211,0.005874755874755873,0.8415548415548415,0.02375102375102375,0.8653058653058653,0.8653058653058653
primary_only_pressure,65_plus,38656,0.06489994591671173,0.055529847292919945,0.059850374064837904,2280,32851,38779,0.39599286009933776,77312,0.8446015999073233,0.0018104150780089937,0.058130376484067485,0.8486392798013245,0.060171771523178805,0.9088110513245033,0.9088110513245033
secondary_only_pressure,0,167,0.006172839506172839,0.005405405405405406,0.005763688760806917,1,161,184,0.44610778443113774,334,0.23353293413173654,0.0,0.0,0.9640718562874252,0.005988023952095809,0.9700598802395209,0.9700598802395209
secondary_only_pressure,1,649,0.03785488958990536,0.03582089552238806,0.03680981595092025,24,610,646,0.4899845916795069,1298,0.9476117103235747,0.0,0.0,0.8921417565485362,0.0847457627118644,0.9768875192604006,0.9768875192604006
secondary_only_pressure,17_64,85371,0.33736980800602334,0.23550538176004907,0.27738120570805846,21508,42244,69819,0.6868433074463225,170742,0.8821493365708382,0.0035764263349644205,0.2779508680560179,0.2896768223401389,0.45708730130840686,0.7467641236485457,0.7467641236485457
secondary_only_pressure,2_4,2600,0.03417772416566144,0.03177570093457944,0.032932971716389,85,2402,2590,0.4973076923076923,5200,0.9330769230769235,0.004102564102564103,0.006923076923076923,0.8565384615384616,0.1,0.9565384615384616,0.9565384615384616
secondary_only_pressure,5_16,15873,0.1597154072620216,0.11554845580404687,0.1340885684860968,1953,10275,14949,0.5455805455805456,31746,0.88165612116661,0.010022257225054435,0.030132180132179998,0.5286965286965287,0.24166824166824166,0.7703647703647704,0.7703647703647704
secondary_only_pressure,65_plus,38656,0.23822923816060398,0.16907377188923256,0.1977805951651733,6942,22198,34117,0.6312215438741722,77312,0.8476730575213598,0.0004210682490516211,0.0652333199862071,0.4523230546357616,0.30150558774834435,0.753828642384106,0.753828642384106
