state,density_bucket,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,1,distinct,2,30,1.0,1.0,1.0,1.0,1.0,,,0.001662504673004106
post_gold,1,itemRequiresStatement,4,10,1.0,1.0,1.0,1.0,1.0,,,0.004831886291503884
post_gold,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.0007698684930801392
post_gold,1,type,5,281,1.0,1.0,1.0,1.0,1.0,,,0.02982458461646087
post_gold,1,valueRequiresStatement,15,1,1.0,1.0,1.0,1.0,1.0,,,0.22872310876846313
post_gold,1,valueType,16,12,1.0,1.0,1.0,1.0,1.0,,,0.06871601939201355
post_gold,17_64,conflictWith,3,716955,0.7363335216296699,0.82390526602088,0.8279977135391148,0.9603442201250952,0.8892738055354328,0.887857808531042,0.9562799751106933,0.1147287832361387
post_gold,17_64,distinct,2,325073,1.0,1.0,1.0,1.0,1.0,,,0.004204591583489184
post_gold,17_64,inverse,9,26984,0.7214275126000593,0.7206863326415653,0.721253709198813,0.998869882365028,0.8376591207702415,0.9827451878582585,0.9925299591240384,0.26634637285725254
post_gold,17_64,itemRequiresStatement,4,213007,0.9842775120066477,0.9842775120066477,0.9842775120066477,1.0,0.9920764671784983,0.6926476688830163,0.9915097099404981,0.002863562265970641
post_gold,17_64,oneOf,12,1562,1.0,1.0,1.0,1.0,1.0,,,0.23982029351931683
post_gold,17_64,single,0,579377,0.9987969836565829,0.9987969836565829,0.9987969836565829,1.0,0.9993981297984469,0.716182758088239,0.9994951561666712,0.0023191155606894784
post_gold,17_64,symmetric,14,145,1.0,0.46206896551724136,1.0,0.46206896551724136,0.6320754716981132,,,0.49973334916706735
post_gold,17_64,type,5,199854,0.9750517878050977,0.9750517878050977,0.9750517878050977,1.0,0.9873683250490218,0.6838829990265823,0.986356056338499,0.014261902274547447
post_gold,17_64,valueRequiresStatement,15,4948,0.9909054163298302,0.9909054163298302,0.9909054163298302,1.0,0.9954319358440766,0.5323905998594964,0.9920673505565746,0.21961885231728503
post_gold,17_64,valueType,16,143916,0.8998374051530059,0.8998374051530059,0.8998374051530059,1.0,0.9472783330956012,0.7333343243568485,0.9483830505114181,0.020322326348447398
post_gold,2_4,conflictWith,3,453,0.3973509933774834,0.7240618101545254,0.6797385620915033,0.5777777777777777,0.6246246246246246,0.7695156695156694,0.6660591120859709,0.3209051218780197
post_gold,2_4,distinct,2,1316,1.0,1.0,1.0,1.0,1.0,,,0.001962665230669902
post_gold,2_4,inverse,9,16,1.0,1.0,1.0,1.0,1.0,,,0.26603827998042107
post_gold,2_4,itemRequiresStatement,4,1216,1.0,1.0,1.0,1.0,1.0,,,0.0050985966564008915
post_gold,2_4,oneOf,12,3,1.0,1.0,1.0,1.0,1.0,,,0.2955182393391927
post_gold,2_4,single,0,1382,1.0,1.0,1.0,1.0,1.0,,,0.0009158308875198973
post_gold,2_4,symmetric,14,2,1.0,0.0,0.0,0.0,0.0,,,0.4993854910135269
post_gold,2_4,type,5,1112,1.0,1.0,1.0,1.0,1.0,,,0.017954944921054438
post_gold,2_4,valueRequiresStatement,15,4,1.0,1.0,1.0,1.0,1.0,,,0.2326989769935608
post_gold,2_4,valueType,16,291,1.0,1.0,1.0,1.0,1.0,,,0.09506181957795445
post_gold,5_16,conflictWith,3,27942,0.5857132631880324,0.7115453439267053,0.7066169154228856,0.867835757057314,0.7789721932759284,0.6941766096525057,0.6795416623018298,0.20338643765128056
post_gold,5_16,distinct,2,13303,1.0,1.0,1.0,1.0,1.0,,,0.004583768416085452
post_gold,5_16,inverse,9,775,0.9909677419354839,0.9806451612903225,0.9908735332464146,0.9895833333333334,0.990228013029316,0.812313988095238,0.9979391441878105,0.27379387917057163
post_gold,5_16,itemRequiresStatement,4,17803,0.991855305285626,0.991855305285626,0.991855305285626,1.0,0.9959110008177998,0.7503727918575541,0.9947935322688919,0.007061431972135325
post_gold,5_16,oneOf,12,237,1.0,1.0,1.0,1.0,1.0,,,0.26001508427068654
post_gold,5_16,single,0,20056,0.9992022337455125,0.9992022337455125,0.9992022337455125,1.0,0.9996009577015162,0.6855492140718563,0.9996798567079045,0.002249734979204612
post_gold,5_16,symmetric,14,21,1.0,0.38095238095238093,1.0,0.38095238095238093,0.5517241379310345,,,0.4997013367357708
post_gold,5_16,type,5,14969,0.9813614803928118,0.9813614803928118,0.9813614803928118,1.0,0.9905930746147881,0.7400167377900749,0.9918536293650867,0.016522957348649975
post_gold,5_16,valueRequiresStatement,15,343,0.9854227405247813,0.9854227405247813,0.9854227405247813,1.0,0.9926578560939794,0.6023668639053255,0.9906577441170075,0.20305949588558772
post_gold,5_16,valueType,16,10434,0.9167145869273529,0.9167145869273529,0.9167145869273529,1.0,0.9565478273913696,0.4973330678532264,0.9123171197556639,0.02678971266481458
post_gold,65_plus,conflictWith,3,1083176,0.6873795209642755,0.7918722349830498,0.810457055097315,0.9100507284236313,0.8573713416605456,0.8281696951714432,0.889322061655191,0.12147974455323086
post_gold,65_plus,distinct,2,313707,1.0,1.0,1.0,1.0,1.0,,,0.007476243340470194
post_gold,65_plus,inverse,9,4024,0.981858846918489,0.9811133200795229,0.9818453121114151,0.9992406985573272,0.9904666332162569,0.8093945351098907,0.9924691311471112,0.25184345519388646
post_gold,65_plus,itemRequiresStatement,4,461472,0.9942748422439498,0.9942748422439498,0.9942748422439498,1.0,0.997129203239806,0.6196087952401992,0.9954758522311851,0.019425898185364766
post_gold,65_plus,oneOf,12,501,0.998003992015968,0.998003992015968,0.998003992015968,1.0,0.9990009990009989,0.426,0.9983014137417738,0.2739728026523323
post_gold,65_plus,single,0,750004,0.9991773377208655,0.9991773377208655,0.9991773377208655,1.0,0.9995884995975033,0.6005094582124139,0.9993775926329536,0.007415224930260813
post_gold,65_plus,symmetric,14,114,0.9736842105263158,0.38596491228070173,0.9555555555555556,0.38738738738738737,0.5512820512820513,0.4924924924924925,0.9776272782817966,0.4733687484996361
post_gold,65_plus,type,5,525428,0.9287875788880684,0.9287875788880684,0.9287875788880684,1.0,0.9630791789145672,0.6977072739168841,0.9655279038265696,0.0025476103951102293
post_gold,65_plus,valueRequiresStatement,15,5415,0.9957525392428439,0.9957525392428439,0.9957525392428439,1.0,0.9978717497918016,0.7613614372339053,0.998254216115385,0.2326913384519455
post_gold,65_plus,valueType,16,305148,0.8664582432131294,0.8664582432131294,0.8664582432131294,1.0,0.928451784403718,0.8331328114424261,0.9608003139043313,0.07213675087886702
pre,1,distinct,2,30,1.0,1.0,1.0,1.0,1.0,,,0.0006483693917592737
pre,1,itemRequiresStatement,4,10,1.0,1.0,1.0,1.0,1.0,,,0.0012477636337280273
pre,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.0002745091915130615
pre,1,type,5,284,1.0,1.0,1.0,1.0,1.0,,,0.01710945115962494
pre,1,valueRequiresStatement,15,1,1.0,1.0,1.0,1.0,1.0,,,0.09636598825454712
pre,1,valueType,16,7,1.0,1.0,1.0,1.0,1.0,,,0.06010614122663227
pre,17_64,conflictWith,3,716955,0.7512800663918935,0.784898633805469,0.8637354568645114,0.8473694568111185,0.8554741898783763,0.8451055324589514,0.9472966360966887,0.07616410322707606
pre,17_64,distinct,2,127049,1.0,0.9999921290210864,1.0,0.9999921290210864,0.999996064495055,,,0.010585731018624442
pre,17_64,inverse,9,26984,0.09609398161873703,0.9787651941891491,0.9926829268292683,0.7848052448900887,0.8765884126642258,0.9752826125560181,0.9267964373757527,0.8740736346491934
pre,17_64,itemRequiresStatement,4,212997,0.9875679000173712,0.9875115611956976,0.9875671995680447,0.9999429519512809,0.9937165453282751,0.5169834272617774,0.9878549618457326,0.004278282533894541
pre,17_64,oneOf,12,1562,0.9916773367477593,0.9916773367477593,0.9916773367477593,1.0,0.9958212793314047,0.7043253712072305,0.9967765970615206,0.06125369492474657
pre,17_64,single,0,579377,0.9984362513527462,0.9984362513527462,0.9984362513527462,1.0,0.9992175138705599,0.7100237591400604,0.9993641618155513,0.003189219205208324
pre,17_64,symmetric,14,145,1.0,0.013793103448275862,1.0,0.013793103448275862,0.027210884353741496,,,0.4963309187313606
pre,17_64,type,5,199465,0.9769784172661871,0.9769633770335648,0.9769780710110196,0.9999846053583616,0.9883474710588713,0.555967374449769,0.982008143913224,0.02467242043387028
pre,17_64,valueRequiresStatement,15,4953,0.9909145972138098,0.9907126993741167,0.9909127625201939,0.9997962510187449,0.9953346855983773,0.558724984152857,0.9928447221596421,0.11198203629396093
pre,17_64,valueType,16,143538,0.8999986066407502,0.901162061614346,0.9016015589531545,0.999233651226158,0.9479102795228321,0.6660245398527118,0.9513453317720214,0.050284285394578056
