variant,density_bucket,support,factor_count_mean,pressure_target_nodes_mean,shared_pressure_target_nodes_mean,max_factors_per_target_max
no_factor_pressure,0,167,0.0,0.0,0.0,0
no_factor_pressure,1,649,1.0,0.0,0.0,0
no_factor_pressure,17_64,85371,40.120228180529686,0.0,0.0,0
no_factor_pressure,2_4,2600,3.1953846153846155,0.0,0.0,0
no_factor_pressure,5_16,15873,11.336672336672336,0.0,0.0,0
no_factor_pressure,65_plus,38656,127.48334023178808,0.0,0.0,0
normal,0,167,0.0,0.0,0.0,0
normal,1,649,1.0,3.7349768875192604,0.0,1
normal,17_64,85371,40.120228180529686,33.21541272797554,27.27136849749915,64
normal,2_4,2600,3.1953846153846155,5.077692307692308,4.024615384615385,4
normal,5_16,15873,11.336672336672336,10.953946953946954,8.775404775404775,16
normal,65_plus,38656,127.48334023178808,81.5613358857616,64.16263969370861,620
primary_only_pressure,0,167,0.0,0.0,0.0,0
primary_only_pressure,1,649,1.0,0.0,0.0,0
primary_only_pressure,17_64,85371,40.120228180529686,0.0,0.0,0
primary_only_pressure,2_4,2600,3.1953846153846155,0.0,0.0,0
primary_only_pressure,5_16,15873,11.336672336672336,0.0,0.0,0
primary_only_pressure,65_plus,38656,127.48334023178808,0.0,0.0,0
secondary_only_pressure,0,167,0.0,0.0,0.0,0
secondary_only_pressure,1,649,1.0,3.7349768875192604,0.0,1
secondary_only_pressure,17_64,85371,40.120228180529686,33.21541272797554,27.27136849749915,64
secondary_only_pressure,2_4,2600,3.1953846153846155,5.077692307692308,4.024615384615385,4
secondary_only_pressure,5_16,15873,11.336672336672336,10.953946953946954,8.775404775404775,16
secondary_only_pressure,65_plus,38656,127.48334023178808,81.5613358857616,64.16263969370861,620
