index,constraint_id,constraint_type,density_bucket,prediction_exact_match,metric_equivalent,g0_slots,h1_slots,g0_primary_satisfied,h1_primary_satisfied,g0_gfr,h1_gfr,g0_srr,h1_srr,g0_sir,h1_sir,g0_disruption,h1_disruption,g0_focus_deleted,h1_focus_deleted,g0_candidate_deletes_focus,h1_candidate_deletes_focus,g0_vacuous_satisfaction_improvement,h1_vacuous_satisfaction_improvement,g0_non_vacuous_primary_fix,h1_non_vacuous_primary_fix
0,73156,conflictWith,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 29991, 98872]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
1,63621,single,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 30131, 80244]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
2,71311,type,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 31386, 31383]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0
3,53610,type,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 31152, 36173]",1,1,0.92,0.92,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0,0
4,59405,distinct,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 90673, 33681, 75281]",1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0
5,64487,distinct,17_64,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 36219, 89892]",1,1,0.45,0.45,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0,0
6,51859,conflictWith,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 29963, 98872]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
7,59405,distinct,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 90622, 33681, 75281]",1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0
8,60263,valueType,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 31559, 98872]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
9,59405,distinct,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 91769, 33681, 75281]",1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0
10,52213,conflictWith,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 30638, 98872]",1,1,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
11,55339,single,17_64,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 97413, 29787, 98872]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
12,59405,distinct,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 90087, 33681, 75281]",1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0
13,64000,single,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 95002, 35867, 88406]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
14,59405,distinct,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 93959, 33681, 33265]",1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0
15,64161,single,17_64,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 97316, 30828, 98872]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
16,60096,distinct,17_64,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 92630, 30780, 89574]",1,1,0.7142857142857143,0.7142857142857143,0.0,0.0,0.2,0.2,1,1,1,1,1,1,1,1,0,0
17,67579,type,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 35227, 98872]",1,1,0.55,0.55,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
18,51866,itemRequiresStatement,5_16,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 29963, 98872]",1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0
19,51759,type,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 30419, 76032]",1,1,0.9913793103448276,0.9913793103448276,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0,0
20,59405,distinct,65_plus,0,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 98872, 33681, 75281]",1,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,0,0
