variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,-0.08187057611816007,-0.059880239520958,0.0,0.0,0.0,-0.011976047904191489,167,0.1796407252550125,0.05988023802638054,0.359281450510025
no_factor_pressure,17_64,-0.400896419607497,-0.12171596546022412,0.045699800212360975,0.0008109190165779684,0.13569694545793626,-0.038237185375711746,87088,0.7020255327224731,0.5276310443878174,3.1657862663269043
no_factor_pressure,2_4,-0.37605192458795805,-0.21435594886922316,0.038593903638151406,-0.0014749262536873156,0.03367748279252704,-0.011307767944936153,2034,0.6971485018730164,0.4098656177520752,2.459193706512451
no_factor_pressure,5_16,-0.46579432452427505,-0.25638841567291315,0.04555834795527425,-0.018102858716146572,0.04763175684811135,-0.005587734241908171,14675,0.7534582614898682,0.6429869532585144,3.857921600341797
no_factor_pressure,65_plus,-0.3294820945902351,-0.1444526326489124,0.0337648356843846,-0.0008065927788495336,0.057574193665736906,-0.001295995120959459,39352,0.7161770462989807,0.623009443283081,3.7380564212799072
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.2141959294885621,-0.14204023516443132,0.00018916725930473444,0.0017298241542031464,0.055130246330580834,0.0027099026272277005,87088,0.3800523579120636,0.17852631211280823,1.0711579322814941
primary_only_pressure,2_4,-0.04608021202745116,-0.043510324483775786,-0.0012291052114061785,0.000983284169124877,-0.0004916420845624385,0.001966568338249708,2034,0.16175024211406708,0.07628646492958069,0.45771878957748413
primary_only_pressure,5_16,-0.17367296942680577,-0.13151618398637133,-0.014419740206793152,0.008143039243550212,-0.0017762634866553238,-0.016695059625213116,14675,0.3220442831516266,0.17277683317661285,1.0366610288619995
primary_only_pressure,65_plus,-0.2186805691927869,-0.21930270380158567,-0.0021930447824335397,0.001356424000098489,-0.007455667750664856,0.03397540150437095,39352,0.5056922435760498,0.22601985931396484,1.356119155883789
secondary_only_pressure,1,-0.08187057611816007,-0.059880239520958,0.0,0.0,0.0,-0.011976047904191489,167,0.1796407252550125,0.05988023802638054,0.359281450510025
secondary_only_pressure,17_64,-0.012640337906104082,-0.006814945801947414,0.001099177174314514,-0.0013201950928182857,0.0010435531241975993,-0.0010104721660848526,87088,0.04610279202461243,0.01757035031914711,0.10542210191488266
secondary_only_pressure,2_4,-0.18908062284190175,-0.10521140609636181,-8.19403474272562e-05,0.0,0.016470009832841692,0.00983284169124865,2034,0.2767944931983948,0.15281875431537628,0.9169124960899353
secondary_only_pressure,5_16,-0.08397705457052163,-0.041362862010221435,0.013833140170447233,-0.01765524311009825,0.01437289418890765,-0.0023168654173766345,14675,0.15448041260242462,0.10190800577402115,0.6114480495452881
secondary_only_pressure,65_plus,-0.0014839177348421329,-0.0007623500711526621,0.00010022051608971072,-1.1430463493413996e-05,-1.3196128618636616e-05,0.0002795283594227982,39352,0.02625025436282158,0.006424916908144951,0.038549501448869705
