variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,1,167,0.8924731182795699,0.8972972972972973,0.894878706199461,166,20,19,0.9520958083832335,334,0.2215568862275449,0.0,0.0,0.9760479041916168,0.1377245508982036,1.1137724550898203,1.1137724550898203
normal,17_64,87088,0.7209279193651776,0.7006326326756388,0.7106354004956832,65231,25251,27872,0.8676109222855043,174176,0.871747934576039,0.012455609272332805,0.1957423923003963,0.5066484475473084,0.5323236266764652,1.0389720742237736,1.0389720742237736
normal,2_4,2034,0.6964903608502224,0.6671401515151515,0.6814993954050786,1409,614,703,0.9107669616519174,4068,0.9207636840380204,0.0014749262536873156,0.0014749262536873156,0.8761061946902655,0.11848574237954769,0.9945919370698132,0.9945919370698132
normal,5_16,14675,0.7448193411264612,0.7179717011332352,0.7311491442542787,11214,3842,4405,0.891175468483816,29350,0.8850356701787688,0.020980665747275577,0.016170357751277738,0.7783986371379897,0.24756388415672914,1.025962521294719,1.025962521294719
normal,65_plus,39352,0.6101312082836332,0.5751573004138855,0.5921282727026428,24041,15362,17758,0.8399064850579386,78704,0.8445834099923729,0.0035260315052877064,0.0688498860805151,0.5909991868265908,0.41029680829436876,1.0012959951209595,1.0012959951209595
no_factor_pressure,1,167,0.8152173913043478,0.8108108108108109,0.8130081300813009,150,34,35,0.8922155688622755,334,0.2215568862275449,0.0,0.0,0.9940119760479041,0.10778443113772455,1.1017964071856288,1.1017964071856288
no_factor_pressure,17_64,87088,0.3203139342757481,0.29983996219241055,0.3097389808881862,27916,59236,65187,0.7458949568252802,174176,0.9174477347884,0.013266528288910773,0.33143933775833256,0.0021357707146794046,0.9985991181333823,1.0007348888480618,1.0007348888480618
no_factor_pressure,2_4,2034,0.314,0.29734848484848486,0.3054474708171206,628,1372,1484,0.6964110127826942,4068,0.9593575876761719,0.0,0.035152409046214354,0.6135693215339233,0.3697148475909538,0.983284169124877,0.983284169124877
no_factor_pressure,5_16,14675,0.27106985441431813,0.25987579230424485,0.26535481973000363,4059,10915,11560,0.6347870528109029,29350,0.9305940181340431,0.0028778070311290065,0.06380211459938909,0.1729471890971039,0.847427597955707,1.0203747870528108,1.0203747870528108
no_factor_pressure,65_plus,39352,0.27081215694246796,0.2549582525897749,0.2626461781124077,10657,28695,31142,0.6954538524090262,78704,0.8783482456767575,0.002719438726438173,0.126424079746252,2.5411669038422442e-05,0.9999745883309615,1.0,1.0
primary_only_pressure,1,167,0.8924731182795699,0.8972972972972973,0.894878706199461,166,20,19,0.9520958083832335,334,0.2215568862275449,0.0,0.0,0.9760479041916168,0.1377245508982036,1.1137724550898203,1.1137724550898203
primary_only_pressure,17_64,87088,0.5029652329195969,0.4900808781671912,0.4964394710071211,45628,45090,47475,0.725570687121073,174176,0.8719371018353438,0.014185433426535951,0.25087263863097714,0.6236565313246372,0.4180254455263641,1.0416819768510013,1.0416819768510013
primary_only_pressure,2_4,2034,0.648741983226443,0.6226325757575758,0.6354191833776275,1315,712,797,0.8672566371681416,4068,0.9195345788266143,0.0024582104228121925,0.0009832841691248771,0.900196656833825,0.09636184857423795,0.9965585054080629,0.9965585054080629
primary_only_pressure,5_16,14675,0.5726824657349268,0.5430565337089442,0.5574761748274729,8482,6329,7137,0.7596592844974447,29350,0.8706159299719757,0.02912370499082579,0.014394094264622414,0.8395229982964225,0.16974446337308347,1.0092674616695059,1.0092674616695059
primary_only_pressure,65_plus,39352,0.3783014236622484,0.36871695495107537,0.3734477035098559,15412,25328,26387,0.620603781256353,78704,0.8423903652099394,0.0048824555053861955,0.06139421832985024,0.7779528359422647,0.2573185606830657,1.0352713966253304,1.0352713966253304
secondary_only_pressure,1,167,0.8152173913043478,0.8108108108108109,0.8130081300813009,150,34,35,0.8922155688622755,334,0.2215568862275449,0.0,0.0,0.9940119760479041,0.10778443113772455,1.1017964071856288,1.1017964071856288
secondary_only_pressure,17_64,87088,0.7084541009359028,0.6878403488609389,0.6979950625895791,64040,26354,29063,0.8607959764835569,174176,0.8728471117503536,0.01113541417951452,0.1967859454245939,0.49593514605915856,0.5420264559985303,1.0379616020576887,1.0379616020576887
secondary_only_pressure,2_4,2034,0.5007342143906021,0.484375,0.4924187725631769,1023,1020,1089,0.8055555555555556,4068,0.9206817436905932,0.0014749262536873156,0.017944936086529008,0.8146509341199607,0.18977384464110128,1.0044247787610618,1.0044247787610618
secondary_only_pressure,5_16,14675,0.6600319531354014,0.6348037646456239,0.6471720896837571,9915,5107,5704,0.8498126064735946,29350,0.8988688103492161,0.0033254226371773245,0.03054325194018539,0.6969676320272572,0.32667802385008515,1.0236456558773424,1.0236456558773424
secondary_only_pressure,65_plus,39352,0.6085147409549906,0.5737936314265891,0.5906443549678007,23984,15430,17815,0.839144134986786,78704,0.8446836305084626,0.0035146010417942924,0.06883668995189646,0.5902622484244765,0.41131327505590565,1.0015755234803823,1.0015755234803823
