state,density_bucket,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
pre,1,inverse,9,1,1.0,1.0,1.0,1.0,1.0,,,0.09393429756164551
pre,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.06534725427627563
pre,1,symmetric,14,2,1.0,1.0,1.0,1.0,1.0,,,0.19071605801582336
pre,1,type,5,22,1.0,1.0,1.0,1.0,1.0,,,0.005697849121960696
pre,1,valueRequiresStatement,15,26,1.0,1.0,1.0,1.0,1.0,,,0.011511504650115967
pre,17_64,conflictWith,3,720412,0.7540032647984765,0.7683922533217104,0.8751156226078081,0.8081584261947411,0.8403053142870817,0.8123809425785464,0.9306258330532429,0.06499955596837002
pre,17_64,distinct,2,156422,0.8556213320376929,0.9471941287031236,0.9760420931325722,0.96189423033817,0.9689165186500888,0.972383780347019,0.9936135287711627,0.08969968835695957
pre,17_64,inverse,9,34015,0.26697045421137733,0.9346464794943408,0.9832299887260428,0.7683074551260874,0.8625826791123199,0.9230668204230956,0.884023855964058,0.5853939047652483
pre,17_64,itemRequiresStatement,4,219708,0.9857174067398548,0.9857174067398548,0.9857174067398548,1.0,0.9928073384401689,0.8034769520497643,0.9957513512038704,0.0062468146058978925
pre,17_64,oneOf,12,1930,0.8580310880829015,0.8580310880829015,0.8580310880829015,1.0,0.9235917456776352,0.6417550424909201,0.895889848547781,0.09481569726232421
pre,17_64,single,0,587533,0.9984613630213112,0.9984613630213112,0.9984613630213112,1.0,0.9992300892040452,0.8753197359347755,0.9997299873993017,0.0029529745119368602
pre,17_64,symmetric,14,2596,0.9576271186440678,0.9576271186440678,0.9576271186440678,1.0,0.9783549783549783,0.5763347473122212,0.9672186000002422,0.008275762039634222
pre,17_64,type,5,206317,0.9772001337747253,0.9772001337747253,0.9772001337747253,1.0,0.9884686098105067,0.7729601721934031,0.9928758734826848,0.01744702644648884
pre,17_64,valueRequiresStatement,15,9371,0.9724682531213318,0.9724682531213318,0.9724682531213318,1.0,0.9860419822549232,0.7814505132373295,0.9902671266825421,0.011434439342719847
pre,17_64,valueType,16,146142,0.8972232486212041,0.8972232486212041,0.8972232486212041,1.0,0.9458278031046223,0.7678364451898112,0.9612439174232201,0.02226154411278418
pre,2_4,conflictWith,3,229,0.37117903930131,0.6986899563318777,0.5833333333333334,0.6588235294117647,0.6187845303867403,0.7560049019607843,0.6742796407754947,0.27598297465836635
pre,2_4,distinct,2,484,1.0,1.0,1.0,1.0,1.0,,,0.01614912149827338
pre,2_4,inverse,9,107,0.9906542056074766,0.9906542056074766,0.9906542056074766,1.0,0.9953051643192489,0.9622641509433962,0.9996431379650539,0.004495310449154628
pre,2_4,itemRequiresStatement,4,1068,1.0,1.0,1.0,1.0,1.0,,,0.003436009758867148
pre,2_4,oneOf,12,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6666666666666666,0.8333333333333334,0.2588627007272509
pre,2_4,single,0,652,1.0,1.0,1.0,1.0,1.0,,,0.006643526941720691
pre,2_4,symmetric,14,352,0.9346590909090909,0.9346590909090909,0.9346590909090909,1.0,0.9662261380323055,0.8118805338971853,0.9790543336142606,0.010364982384172364
pre,2_4,type,5,1117,1.0,1.0,1.0,1.0,1.0,,,0.0281503577262243
pre,2_4,valueRequiresStatement,15,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,0.8181818181818181,0.9440559440559442,0.10974100919870233
pre,2_4,valueType,16,268,1.0,1.0,1.0,1.0,1.0,,,0.07288419088320945
pre,5_16,conflictWith,3,22006,0.6038353176406435,0.6547305280378078,0.6706249250329855,0.8415111378687538,0.7464121220212269,0.6485172435558255,0.7074129497884984,0.11392192173917476
pre,5_16,distinct,2,12210,0.966093366093366,0.8925470925470925,0.9634016973125884,0.923872499152255,0.943223126190064,0.8882958769287221,0.9957136718548688,0.05037146675889368
pre,5_16,inverse,9,2900,0.92,0.5486206896551724,0.9941818181818182,0.5123688155922039,0.676230521889686,0.6462197241896295,0.9588081531463304,0.058008133286032146
pre,5_16,itemRequiresStatement,4,18518,0.9933578140187925,0.9933578140187925,0.9933578140187925,1.0,0.9966678405981633,0.9129416132432592,0.9992745387156572,0.008766936929479056
pre,5_16,oneOf,12,273,0.9010989010989011,0.9010989010989011,0.9010989010989011,1.0,0.9479768786127168,0.6211231556760012,0.9292788188174516,0.04045280868753845
pre,5_16,single,0,17983,0.996830339765334,0.996830339765334,0.996830339765334,1.0,0.9984126542092512,0.8564434487982759,0.9993576455680373,0.006454643475056714
pre,5_16,symmetric,14,642,0.9314641744548287,0.9314641744548287,0.9314641744548287,1.0,0.964516129032258,0.7507981149285496,0.9719262586193622,0.03170020279483257
pre,5_16,type,5,14358,0.9768770023680178,0.9768770023680178,0.9768770023680178,1.0,0.9883032694475761,0.8813410636700517,0.9964608729107167,0.01435659219916774
pre,5_16,valueRequiresStatement,15,868,0.9089861751152074,0.9089861751152074,0.9089861751152074,1.0,0.9523234761617382,0.5638847443487189,0.9230218417566003,0.029556890168497718
pre,5_16,valueType,16,7378,0.9216589861751152,0.9216589861751152,0.9216589861751152,1.0,0.9592326139088729,0.6800695857927948,0.9534840533149465,0.07480269005609484
pre,65_plus,conflictWith,3,1100824,0.6941736372026772,0.7047420841115383,0.8090191574763698,0.7522400325584987,0.7795971370351157,0.7316168616325991,0.8516920753816634,0.08476614566696111
pre,65_plus,distinct,2,262434,0.9901117995381696,0.9962885906551743,0.9987476639115273,0.9975022995008448,0.9981245932446847,0.9903317424786554,0.9998542486665201,0.030374934035763038
pre,65_plus,inverse,9,5361,0.3928371572467823,0.8698004103711994,0.852,0.8091168091168092,0.830004870920604,0.861334450760974,0.8135728950119552,0.4709991272028158
pre,65_plus,itemRequiresStatement,4,466424,0.997191396669125,0.997191396669125,0.997191396669125,1.0,0.9985937234981289,0.6151921385636163,0.9980768068153724,0.013514553007294513
pre,65_plus,oneOf,12,1119,0.550491510277033,0.550491510277033,0.550491510277033,1.0,0.710086455331412,0.6229183341509384,0.6315052502632276,0.37566697693382445
pre,65_plus,single,0,762609,0.9987057587833346,0.9987057587833346,0.9987057587833346,1.0,0.9993524603554186,0.6406687894810918,0.9992776482743122,0.006197326364185015
pre,65_plus,symmetric,14,1106,0.9276672694394213,0.9276672694394213,0.9276672694394213,1.0,0.9624765478424014,0.4677205165692008,0.9380471461827754,0.0357965457288525
pre,65_plus,type,5,530234,0.9284542296420071,0.9284542296420071,0.9284542296420071,1.0,0.9628999385838292,0.8248058879504989,0.9801970669728375,0.024029215500908904
pre,65_plus,valueRequiresStatement,15,10066,0.9591694814226107,0.9591694814226107,0.9591694814226107,1.0,0.9791592718421986,0.7720178266999815,0.9838255042060241,0.003959463612829111
pre,65_plus,valueType,16,312613,0.8570820791201902,0.8570820791201902,0.8570820791201902,1.0,0.9230416778629847,0.7351907926340224,0.9369893953907689,0.03617264466803816
