variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
no_factor_pressure,17_64,-0.49141491958200273,-0.45164086900606276,-0.019653852024616558,-0.0005578292968168586,-0.18866189053574406,-0.16818620246187777,87088,0.682528018951416,0.4697451591491699,2.8184709548950195
no_factor_pressure,2_4,-0.05686033842645044,-0.03515240904621442,-0.0022943297279579555,0.0027040314650934117,-0.0014749262536873156,-0.02704031465093404,2034,0.1273352950811386,0.052769582718610764,0.316617488861084
no_factor_pressure,5_16,-0.36105586318584326,-0.242350936967632,-0.022524574989653212,0.006348439559683072,-0.013737649063032424,-0.03386712095400335,14675,0.5022146701812744,0.2664168179035187,1.5985008478164673
no_factor_pressure,65_plus,-0.3623080268261763,-0.38986582638747713,-0.005311534062019452,0.0005650674452506955,-0.0632625589177676,-0.0685352713966253,39352,0.6297011375427246,0.4224986433982849,2.534991979598999
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.4352494394163339,-0.3897379661951129,-0.019248370452762176,-0.0007811366528977272,-0.18805192125550643,-0.1584374425868088,87088,0.633198618888855,0.4100622236728668,2.4603734016418457
primary_only_pressure,2_4,-0.05426994749137681,-0.03048180924287125,-0.0022943297279579555,0.0027040314650934117,-0.0014749262536873156,-0.021140609636184804,2034,0.11455260217189789,0.04285480082035065,0.2571288049221039
primary_only_pressure,5_16,-0.3391634216278034,-0.21100511073253825,-0.02157177991420056,0.005450627169536804,-0.013590005678591765,-0.029233390119250413,14675,0.47877341508865356,0.2333560436964035,1.4001362323760986
primary_only_pressure,65_plus,-0.2986951211952916,-0.26679711323439725,-0.004823188716907123,0.00012009638120691682,-0.0631233237582951,-0.0675188046350883,39352,0.5585739016532898,0.3111065924167633,1.8666396141052246
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
secondary_only_pressure,17_64,-7.053832894565737e-05,-0.0006602516994304031,0.00018343214155991383,-0.00016668559228295854,-2.3818164203381897e-05,0.0005052360830424263,87088,0.024561362341046333,0.0068991519510746,0.0413949117064476
secondary_only_pressure,2_4,-0.0019165796716332784,-0.00417895771878074,-0.0002458210422812135,0.0,-0.0004916420845624387,-0.005899705014749235,2034,0.0437561459839344,0.016551950946450233,0.0993117019534111
secondary_only_pressure,5_16,0.0010077212181508477,0.000954003407155013,0.00046373615027717197,-0.0009492196238363032,0.0005685081528352398,-0.0010221465076660774,14675,0.03938671201467514,0.013537762686610222,0.08122657239437103
secondary_only_pressure,65_plus,0.000867431558808418,-0.0003684692010571533,4.234859697282989e-05,6.440964504259364e-07,0.00014709038219995474,0.0003303516974995091,39352,0.01842346042394638,0.0047646877355873585,0.028588127344846725
