variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,1,167,0.9021739130434783,0.8972972972972973,0.899728997289973,166,18,19,0.9491017964071856,334,0.2155688622754491,0.0,0.0,0.9640718562874252,0.1377245508982036,1.1017964071856288,1.1017964071856288
normal,17_64,87088,0.7131782945736435,0.6946714928627434,0.7038032537134773,64676,26011,28427,0.8627767315818482,174176,0.8705810607760248,0.014224820529806942,0.19707778689683014,0.5118386000367444,0.529487415028477,1.0413260150652215,1.0413260150652215
normal,2_4,2034,0.6975,0.6605113636363636,0.6785019455252919,1395,605,717,0.9088003933136677,4068,0.9232218944608326,0.0014749262536873156,0.0019665683382497543,0.8559488692232055,0.12733529990167158,0.983284169124877,0.983284169124877
normal,5_16,14675,0.738380609934745,0.709968627953134,0.7238959428142441,11089,3929,4530,0.8846337308347529,29350,0.8847883382942987,0.021869075274526667,0.016045428733674105,0.781396933560477,0.24197614991482114,1.023373083475298,1.023373083475298
normal,65_plus,39352,0.6000812533326563,0.5653963013469222,0.58222266019561,23633,15750,18166,0.8293352307379549,78704,0.8444891212280778,0.003947623668010506,0.06937981125342031,0.5828674527342956,0.4179203090058955,1.000787761740191,1.000787761740191
no_factor_pressure,1,167,0.9021739130434783,0.8972972972972973,0.899728997289973,166,18,19,0.9491017964071856,334,0.2155688622754491,0.0,0.0,0.9640718562874252,0.1377245508982036,1.1017964071856288,1.1017964071856288
no_factor_pressure,17_64,87088,0.23621778011572855,0.19292611408869748,0.21238833413147457,17962,58078,75141,0.41113586257578544,174176,0.8509272087514083,0.013666991232990084,0.008415896361086075,0.8446513871027007,0.02848842550064303,0.8731398126033437,0.8731398126033437
no_factor_pressure,2_4,2034,0.6483290488431876,0.5970643939393939,0.6216416070988414,1261,684,851,0.8736479842674533,4068,0.9209275647328746,0.004178957718780727,0.0004916420845624386,0.8726647000983284,0.08357915437561456,0.956243854473943,0.956243854473943
no_factor_pressure,5_16,14675,0.37655808828593074,0.3500864331903451,0.3628400796284008,5468,9053,10151,0.642282793867121,29350,0.8622637633046455,0.02821751483420974,0.0023077796706416805,0.9495059625212947,0.04,0.9895059625212947,0.9895059625212947
no_factor_pressure,65_plus,39352,0.2352396009376874,0.2064642694801311,0.21991463336943368,8630,28056,33169,0.43946940435047777,78704,0.8391775871660584,0.004512691113261202,0.006117252335652718,0.9112624517178288,0.020990038625736937,0.9322524903435657,0.9322524903435657
primary_only_pressure,1,167,0.9021739130434783,0.8972972972972973,0.899728997289973,166,18,19,0.9491017964071856,334,0.2155688622754491,0.0,0.0,0.9640718562874252,0.1377245508982036,1.1017964071856288,1.1017964071856288
primary_only_pressure,17_64,87088,0.29686951319434507,0.2451693285930636,0.26855381429714337,22826,54063,70277,0.4730387653867353,174176,0.8513326903232626,0.013443683876909215,0.009025865641323703,0.7813820503398861,0.10150652213852655,0.8828885724784127,0.8828885724784127
primary_only_pressure,2_4,2034,0.6489524782830863,0.6013257575757576,0.624231998033915,1270,687,842,0.8783185840707964,4068,0.9209275647328746,0.004178957718780727,0.0004916420845624386,0.8682399213372665,0.09390363815142576,0.9621435594886922,0.9621435594886922
primary_only_pressure,5_16,14675,0.3983137980670368,0.3720468659965427,0.3847325211864407,5811,8778,9808,0.6736286201022147,29350,0.8632165583800981,0.02731970244406347,0.002455423055082339,0.9148892674616695,0.0792504258943782,0.9941396933560477,0.9941396933560477
primary_only_pressure,65_plus,39352,0.3031095136960192,0.2663221608172444,0.28352753900031835,11132,25594,30667,0.5625381175035576,78704,0.8396659325111707,0.004067720049217423,0.006256487495125212,0.7828572880666802,0.15041166903842243,0.9332689571051027,0.9332689571051027
secondary_only_pressure,1,167,0.9021739130434783,0.8972972972972973,0.899728997289973,166,18,19,0.9491017964071856,334,0.2155688622754491,0.0,0.0,0.9640718562874252,0.1377245508982036,1.1017964071856288,1.1017964071856288
secondary_only_pressure,17_64,87088,0.7129316330691825,0.6947681599948444,0.7037327153845316,64685,26046,28418,0.8621164798824178,174176,0.8707644929175847,0.014058134937523984,0.19705396873262676,0.5098635862575785,0.5319676648906853,1.041831251148264,1.041831251148264
secondary_only_pressure,2_4,2034,0.6976861167002012,0.6567234848484849,0.6765853658536586,1387,601,725,0.904621435594887,4068,0.9229760734185514,0.0014749262536873156,0.0014749262536873156,0.8574237954768928,0.119960668633235,0.9773844641101278,0.9773844641101278
secondary_only_pressure,5_16,14675,0.7397853762580817,0.7106088738075421,0.7249036640323949,11099,3904,4520,0.885587734241908,29350,0.8852520744445759,0.020919855650690364,0.016613936886509344,0.7742419080068144,0.2481090289608177,1.022350936967632,1.022350936967632
secondary_only_pressure,65_plus,39352,0.6008731850949335,0.5663293380224407,0.5830900917544184,23672,15724,18127,0.8289667615368977,78704,0.8445314698250507,0.003948267764460932,0.06952690163562027,0.5819272209798739,0.41919089245781666,1.0011181134376905,1.0011181134376905
