state,exposure_bucket,primary_or_secondary,factor_family,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,high_gt100,primary,conflictWith,14813,0.9873084452845473,0.9840005400661581,0.9872663234895692,0.9966495726495727,0.9919357582769063,0.585103837061284,0.9924619206528628,0.08727399756293104
post_gold,high_gt100,primary,distinct,34189,0.7741963789522947,0.2258036210477054,0.0,0.0,0.0,0.846619787112385,0.9479310817738074,0.22539339005422354
post_gold,high_gt100,primary,inverse,10515,0.9762244412743699,0.7447456015216357,0.971396592463624,0.7609352167559669,0.853381405003824,0.4405400876765708,0.9748871963028571,0.4660084896579676
post_gold,high_gt100,primary,itemRequiresStatement,11966,0.9992478689620592,0.8283469831188367,0.9992941413733992,0.8288032115079034,0.9060985645058061,0.4290095062864152,0.9992339259851911,0.491704548387031
post_gold,high_gt100,primary,oneOf,984,0.9949186991869918,0.9817073170731707,0.9948506694129763,0.9867211440245148,0.9907692307692307,0.8289070480081716,0.9990803664124698,0.4828174477064512
post_gold,high_gt100,primary,single,17589,0.9997725851384388,0.0019330263232702257,1.0,0.0017059994313335229,0.0034061879080329264,0.7585726471424509,0.9998907270023542,0.4955627875121622
post_gold,high_gt100,primary,symmetric,4370,0.9993135011441647,0.0006864988558352403,0.0,0.0,0.0,0.9940462560109915,0.9999918255231273,0.489530918711383
post_gold,high_gt100,primary,type,11052,0.9562070213536011,0.5178248280854144,0.9410675197844754,0.5288607115821348,0.6771672623735385,0.3704231861662527,0.930608827953906,0.4501791625023104
post_gold,high_gt100,primary,valueRequiresStatement,9655,0.9973070947695495,0.25385810460901087,1.0,0.2518433897600997,0.40235606437697025,0.9925745144874858,0.99997221899609,0.4901870790261299
post_gold,high_gt100,primary,valueType,7161,0.446585672392124,0.44644602709118836,0.44650837988826814,0.9996873045653534,0.6173006371886465,0.4054972141464267,0.48087779747617565,0.08586851779916169
post_gold,high_gt100,secondary,conflictWith,1827230,0.7048948408246362,0.710853587123679,0.712366472135965,0.9892220915291478,0.8282714947069524,0.7090330282200311,0.8205597851805566,0.057143596945762126
post_gold,high_gt100,secondary,distinct,648167,1.0,0.0,0.0,0.0,0.0,,,0.45399390864602557
