variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,-0.009042822983841736,-0.020958083832335328,0.0,0.0,0.0,-0.017964071856287456,167,0.06586826592683792,0.03692614659667015,0.2215568870306015
no_factor_pressure,17_64,-0.5844036051546943,-0.3758611978688223,-0.011189825235347395,-0.0029762173593844247,-0.07659383809186875,-0.1983396105089107,87088,0.7836785912513733,0.4729105532169342,2.837463140487671
no_factor_pressure,2_4,-0.27973681470324624,-0.21214355948869223,-0.014257620452310604,-0.0007374631268436578,-0.0009832841691248771,0.000491642084562538,2034,0.42182889580726624,0.21247132122516632,1.2748279571533203
no_factor_pressure,5_16,-0.43642588341363014,-0.3345826235093696,-0.012074743352424533,-0.016060620810194867,-0.014949460533787677,-0.026098807495741116,14675,0.6392503976821899,0.3604429364204407,2.1626574993133545
no_factor_pressure,65_plus,-0.4230801322394077,-0.4240699329131938,-0.005040402179745662,0.0003991742500986401,-0.05739393426361454,-0.06299552754624926,39352,0.7212339639663696,0.47198787331581116,2.8319272994995117
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.4090431579400675,-0.23779395553922467,-0.010431742738353789,0.0002681590793593251,-0.0665194952404955,-0.1513182068712109,87088,0.6164454221725464,0.3133401572704315,1.8800408840179443
primary_only_pressure,2_4,-0.027857515337960326,-0.03908554572271383,-0.002622091117666314,0.0,-0.0004916420845624386,-0.000491642084562427,2034,0.1504424810409546,0.06907571107149124,0.41445428133010864
primary_only_pressure,5_16,-0.2659460111069894,-0.19870528109028962,-0.016108462614424224,0.0024770805571486705,-0.00937308347529818,-0.0400681431005111,14675,0.45287904143333435,0.21768313646316528,1.3060988187789917
primary_only_pressure,65_plus,-0.26374956509671316,-0.2563656230941249,-0.004077771909084538,0.00032474911216940966,-0.05334231971954652,-0.01694958324862772,39352,0.586780846118927,0.3039066195487976,1.8234397172927856
secondary_only_pressure,1,-0.009042822983841736,-0.020958083832335328,0.0,0.0,0.0,-0.017964071856287456,167,0.06586826592683792,0.03692614659667015,0.2215568870306015
secondary_only_pressure,17_64,-0.04355729188798385,-0.02436615836854672,0.00025338286564757784,-0.00028121728517220557,3.204830480257881e-05,-0.0007578541245638615,87088,0.09037984907627106,0.022425591945648193,0.13455355167388916
secondary_only_pressure,2_4,-0.07840537790232194,-0.04916420845624381,-0.008849557522123908,0.0,0.0004916420845624385,-0.004424778761061843,2034,0.16175024211406708,0.061127498745918274,0.36676499247550964
secondary_only_pressure,5_16,-0.048347778485862025,-0.02654173764906298,-0.00034676283398704655,-0.001164868445958745,0.0007370000811227316,-0.0021124361158433302,14675,0.11039182543754578,0.03574105724692345,0.21444633603096008
secondary_only_pressure,65_plus,-0.010216790854519653,-0.00698820898556618,0.000123682701360317,-5.052441906652858e-05,0.00011736091419303762,-0.0019058751778817662,39352,0.048764992505311966,0.012655011378228664,0.07593006640672684
