variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,1,167,0.8776595744680851,0.8918918918918919,0.8847184986595175,165,23,20,0.9491017964071856,334,0.2215568862275449,0.0,0.0,0.9760479041916168,0.1497005988023952,1.125748502994012,1.125748502994012
normal,17_64,87088,0.7143722466960353,0.6967015026368646,0.7054262301321893,64865,25935,28238,0.8653258772735624,174176,0.8710307843012604,0.01375607053061055,0.19973842184362917,0.5060743156347602,0.5365492375528201,1.0426235531875805,1.0426235531875805
normal,2_4,2034,0.6835879743716117,0.6567234848484849,0.6698865008452066,1387,642,725,0.9029006882989183,4068,0.9229760734185514,0.0014749262536873156,0.0009832841691248771,0.8839724680432645,0.11356932153392331,0.9975417895771878,0.9975417895771878
normal,5_16,14675,0.7390129801673585,0.7180997503041168,0.7284062865307183,11216,3961,4403,0.8891652470187393,29350,0.8848857544121577,0.02175814853327627,0.0162271436683703,0.7882112436115843,0.24599659284497444,1.0342078364565588,1.0342078364565588
normal,65_plus,39352,0.6167275273873243,0.5899184191009355,0.6030251525415439,24658,15324,17141,0.8486989225452328,78704,0.8447997568619761,0.0034999534168507263,0.06928844022829696,0.5892203699939011,0.4267889815003049,1.0160093514942061,1.0160093514942061
no_factor_pressure,1,167,0.8756756756756757,0.8756756756756757,0.8756756756756757,162,23,23,0.9281437125748503,334,0.2215568862275449,0.0,0.0,1.0,0.10778443113772455,1.1077844311377245,1.1077844311377245
no_factor_pressure,17_64,87088,0.1371332979721735,0.10829941033049419,0.12102262497749507,10083,63444,83020,0.48946467940474003,174176,0.859840959065913,0.010779853171226126,0.12314458375176042,0.7181012309388205,0.12618271173984935,0.8442839426786698,0.8442839426786698
no_factor_pressure,2_4,2034,0.3980295566502463,0.38257575757575757,0.3901496861419604,808,1222,1304,0.6907571288102261,4068,0.9087184529662408,0.0007374631268436578,0.0,0.9965585054080629,0.0014749262536873156,0.9980334316617503,0.9980334316617503
no_factor_pressure,5_16,14675,0.3001216709476815,0.28426915935719316,0.2919804031170881,4440,10354,11179,0.5545826235093697,29350,0.8728110110597331,0.005697527723081399,0.0012776831345826234,0.989778534923339,0.018330494037478707,1.0081090289608177,1.0081090289608177
no_factor_pressure,65_plus,39352,0.1902514465509426,0.17069786358525324,0.17994502030213616,7135,30368,34664,0.42462898963203904,78704,0.8397593546822304,0.0038991276669493665,0.011894505964682413,0.939545639357593,0.013468184590363894,0.9530138239479569,0.9530138239479569
primary_only_pressure,1,167,0.8776595744680851,0.8918918918918919,0.8847184986595175,165,23,20,0.9491017964071856,334,0.2215568862275449,0.0,0.0,0.9760479041916168,0.1497005988023952,1.125748502994012,1.125748502994012
primary_only_pressure,17_64,87088,0.32593852258380357,0.2717420491283847,0.2963830721921218,25300,52322,67803,0.6275319217343377,174176,0.8605990415629066,0.014024229609969876,0.13321892660313367,0.6299719823626676,0.261333363953702,0.8913053463163696,0.8913053463163696
primary_only_pressure,2_4,2034,0.6553254437869822,0.6292613636363636,0.6420289855072463,1329,699,783,0.8638151425762045,4068,0.920353982300885,0.0014749262536873156,0.0004916420845624386,0.9252704031465093,0.07177974434611603,0.9970501474926253,0.9970501474926253
primary_only_pressure,5_16,14675,0.47878538624991435,0.44721172930405273,0.46246027542372886,6985,7604,8634,0.6904599659284497,29350,0.8687772917977334,0.02423522909042494,0.0068540601930721185,0.8943100511073254,0.09982964224872232,0.9941396933560477,0.9941396933560477
primary_only_pressure,65_plus,39352,0.34999364110390435,0.3291944783368023,0.3392755874448307,13760,25555,28039,0.5923332994511079,78704,0.8407219849528915,0.003824702529020136,0.015946120508750442,0.7902520837568612,0.20880768448871723,0.9990597682455784,0.9990597682455784
secondary_only_pressure,1,167,0.8756756756756757,0.8756756756756757,0.8756756756756757,162,23,23,0.9281437125748503,334,0.2215568862275449,0.0,0.0,1.0,0.10778443113772455,1.1077844311377245,1.1077844311377245
secondary_only_pressure,17_64,87088,0.6705094011065312,0.653448331417892,0.6618689382442055,60838,29896,32265,0.8409597189050156,174176,0.8712841671669079,0.013474853245438345,0.19977047014843174,0.5056379753812236,0.5362277236817932,1.0418656990630166,1.0418656990630166
secondary_only_pressure,2_4,2034,0.6049504950495049,0.5785984848484849,0.5914811229428847,1222,798,890,0.8537364798426745,4068,0.9141265158964275,0.0014749262536873156,0.0014749262536873156,0.8893805309734514,0.10373647984267453,0.9931170108161259,0.9931170108161259
secondary_only_pressure,5_16,14675,0.6906774065759936,0.6697611882963058,0.6800585080448562,10461,4685,5158,0.8626235093696764,29350,0.8845389915781706,0.020593280087317523,0.01696414374949303,0.7792163543441226,0.25287904599659283,1.0320954003407155,1.0320954003407155
secondary_only_pressure,65_plus,39352,0.6068609517127321,0.5793918514797005,0.5928083616870242,24218,15689,17581,0.8417107135596666,78704,0.8449234395633364,0.0034494289977841978,0.06940580114249,0.5889916649725554,0.4251118113437691,1.0141034763163244,1.0141034763163244
