state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1843471,0.7072381393577659,0.9444471868556652,0.9591358776782158,0.9624566546477032,0.960793396782616,0.9872049323580769,0.9945528643175867,0.24101808789390008
post_gold,distinct,2,687661,0.9887735381241629,0.9988613575584482,0.9993089231257848,0.9995396659416037,0.9994242812154651,0.997736677004275,0.999941665197178,0.015124150131100597
post_gold,inverse,9,42384,0.8147178180445451,0.9760758776896942,0.9801724878943296,0.9906750456111899,0.9853957829243001,0.9751115512713645,0.9911490647606103,0.17923178160736372
post_gold,itemRequiresStatement,4,705893,0.9912947146380542,0.9925243627575284,0.9925249393271878,0.9999899963987036,0.9962434837577121,0.8936674475855594,0.9986145443325593,0.003404152085173753
post_gold,oneOf,12,3331,0.9978985289702792,0.9978985289702792,0.9978985289702792,1.0,0.9989481592787377,0.40128072889805744,0.9967322233777248,0.06702224351521621
post_gold,single,0,1368781,0.9990254102007553,0.9990254102007553,0.9990254102007553,1.0,0.9995124675282908,0.8798636658567809,0.9998147091704107,0.0007938942906447101
post_gold,symmetric,14,4698,0.9987228607918263,0.9987228607918263,0.9987228607918263,1.0,0.9993610223642173,0.713324097755044,0.999288642300729,0.007325735382447097
post_gold,type,5,752805,0.9426518155432018,0.9769581764201885,0.9798850694227823,0.9960021588623978,0.9878778815015046,0.9744480133888188,0.9979110561210718,0.032454400504934866
post_gold,valueRequiresStatement,15,20367,0.9951391957578436,0.9951391957578436,0.9951391957578436,1.0,0.997563676633444,0.5627385957462926,0.9961641522060711,0.023817316160793453
post_gold,valueType,16,466978,0.8715207140379204,0.9688186595514136,0.9791804039367964,0.9851688408058361,0.9821654943162542,0.9830933283092473,0.9956205245032812,0.0951491535857926
pre,conflictWith,3,1843471,0.7164360057738907,0.9484944433625482,0.9621517969846912,0.966112654450686,0.964128157709316,0.988747753553003,0.9954636618742612,0.23463585942424628
pre,distinct,2,431550,0.9406951685783802,0.9987069864442127,0.9999309417814554,0.9986944430075106,0.9993123098992867,0.9998998130592949,0.9999938791642461,0.06174559991630335
pre,inverse,9,42384,0.3294167610419026,0.9766893167232918,0.9892894855936039,0.9394069617533305,0.9637031594415871,0.994790140344041,0.9901480407314052,0.6536841282130595
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9943305966405844,0.9945434270002469,0.9997789336615575,0.9971543081896322,0.888531961871869,0.9988055223676295,0.002518553441467923
pre,oneOf,12,3331,0.7577304112879015,0.8294806364455118,0.8279678068410463,0.9782091917591125,0.8968398111151471,0.7018024732088677,0.8549506748686406,0.1296496705692547
pre,single,0,1368781,0.9985768358853607,0.9985702606918127,0.9986708210511548,0.9998990366782189,0.9992845514664136,0.9022680996130158,0.9997961538070989,0.00021094515069730582
pre,symmetric,14,4698,0.945295870583227,0.9723286504895701,0.9728010528624699,0.9986489529385274,0.9855555555555555,0.8990626782449005,0.9885660941107248,0.029079322272213083
pre,type,5,752048,0.9428600302108376,0.9777780141693083,0.9838945049538166,0.9926806153360147,0.9882680324945734,0.977686719013529,0.9981781174713426,0.03703124906274149
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9716869838773102,0.9746904952076677,0.9964785138307645,0.9854640892343411,0.9671471538906469,0.9985425582872431,0.025920730902432045
pre,valueType,16,466401,0.8707635704040085,0.9696227066408519,0.9798795761904645,0.9853468759618345,0.982605621006831,0.9849167354535607,0.9962156092040836,0.098434859686394
