state,exposure_bucket,primary_or_secondary,factor_family,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,high_gt100,primary,conflictWith,14813,0.9873084452845473,0.9672584891649227,0.9909722222222223,0.9757264957264957,0.9832902670111973,0.8710892889616294,0.997262801558575,0.03601540421084777
post_gold,high_gt100,primary,distinct,34189,0.7741963789522947,0.9803738044400245,0.9824220210935747,0.992406211039329,0.9873888774033492,0.9832424067493559,0.9913047810958446,0.24402735097765108
post_gold,high_gt100,primary,inverse,10515,0.9762244412743699,0.9780313837375179,0.9781738467403737,0.9998051631758402,0.9888712241653418,0.9226569897710668,0.9955420112637305,0.01734720639852587
post_gold,high_gt100,primary,itemRequiresStatement,11966,0.9992478689620592,0.9992478689620592,0.9992478689620592,1.0,0.9996237930025499,0.9650692760168382,0.9999717942049636,0.012177168062732361
post_gold,high_gt100,primary,oneOf,984,0.9949186991869918,0.9949186991869918,0.9949186991869918,1.0,0.9974528782475802,0.47170582226762003,0.9940854270955938,0.03844481773250466
post_gold,high_gt100,primary,single,17589,0.9997725851384388,0.9997725851384388,0.9997725851384388,1.0,0.9998862796383693,0.45980949673016774,0.9997095029254724,0.0006800296497870475
post_gold,high_gt100,primary,symmetric,4370,0.9993135011441647,0.9993135011441647,0.9993135011441647,1.0,0.999656632711457,0.9078696282726508,0.9999313109212113,0.007824625862545027
post_gold,high_gt100,primary,type,11052,0.9562070213536011,0.9567499095186391,0.9576378809869376,0.9989591218773657,0.977862171174509,0.9252242267315645,0.9961407823943855,0.03295296420812767
post_gold,high_gt100,primary,valueRequiresStatement,9655,0.9973070947695495,0.9973070947695495,0.9973070947695495,1.0,0.9986517320058079,0.49644902817610265,0.9977513890768709,0.020269407885238858
post_gold,high_gt100,primary,valueType,7161,0.446585672392124,0.8571428571428571,0.9223300970873787,0.7426516572858036,0.8227957734280271,0.9161066080759218,0.929176831772113,0.4089091266550484
post_gold,high_gt100,secondary,conflictWith,1827230,0.7048948408246362,0.9442976527311833,0.9587844893602209,0.9623464194626574,0.9605621523600286,0.9872457290211895,0.9945181031935063,0.24332256551176754
post_gold,high_gt100,secondary,distinct,648167,1.0,0.9998287478381344,1.0,0.9998287478381344,0.9999143665866136,,,0.003168266597940659
post_gold,high_gt100,secondary,inverse,31782,0.7609967906362092,0.9756151280599081,0.9812523126259096,0.986810551558753,0.9840235832525923,0.9801687957255267,0.9892977344029343,0.2440642612837712
post_gold,high_gt100,secondary,itemRequiresStatement,678624,0.9912145753760551,0.9924936341773942,0.9924941939558121,0.999989593584891,0.9962277955337809,0.8955659085086994,0.998623383295124,0.0033782975771984736
post_gold,high_gt100,secondary,oneOf,2281,0.9995615957913196,0.9995615957913196,0.9995615957913196,1.0,0.9997807498355623,0.7236842105263158,0.9998582682289658,0.07950797730608507
post_gold,high_gt100,secondary,single,1342612,0.9990138625306492,0.9990138625306492,0.9990138625306492,1.0,0.999506688028615,0.8815253814136101,0.9998161068427424,0.0007929535716172738
post_gold,high_gt100,secondary,symmetric,279,0.989247311827957,0.989247311827957,0.989247311827957,1.0,0.9945945945945946,0.4384057971014493,0.9859141473200759,0.008690065807766408
post_gold,high_gt100,secondary,type,735512,0.9425135143954143,0.9776291889187396,0.9805623801746787,0.9960085397342873,0.9882251069859307,0.9764880206583606,0.998068998682378,0.03350207378015515
post_gold,high_gt100,secondary,valueRequiresStatement,10604,0.9931158053564693,0.9931158053564693,0.9931158053564693,1.0,0.9965460137213153,0.5814991096085529,0.9946174552849514,0.026954497381769353
post_gold,high_gt100,secondary,valueType,458304,0.8780656507471024,0.9707137620444072,0.9796475999062897,0.9871552428923938,0.9833870923822231,0.9830902953414534,0.9957453309150796,0.09050272077570004
post_gold,low_1_10,primary,conflictWith,8,1.0,1.0,1.0,1.0,1.0,,,0.05038695782423018
post_gold,low_1_10,primary,distinct,4,1.0,1.0,1.0,1.0,1.0,,,0.009751871228218079
post_gold,low_1_10,primary,inverse,5,1.0,1.0,1.0,1.0,1.0,,,0.006554770469665572
post_gold,low_1_10,primary,itemRequiresStatement,55,1.0,1.0,1.0,1.0,1.0,,,0.01485674056139863
post_gold,low_1_10,primary,oneOf,3,1.0,1.0,1.0,1.0,1.0,,,0.026736140251159668
post_gold,low_1_10,primary,single,28,1.0,1.0,1.0,1.0,1.0,,,0.0007873028516769409
post_gold,low_1_10,primary,symmetric,6,1.0,1.0,1.0,1.0,1.0,,,0.004338294267654419
post_gold,low_1_10,primary,type,11,1.0,1.0,1.0,1.0,1.0,,,0.010860215533863404
post_gold,low_1_10,primary,valueType,1,1.0,1.0,1.0,1.0,1.0,,,0.011429846286773682
post_gold,low_1_10,secondary,conflictWith,50,0.74,0.88,0.8974358974358975,0.9459459459459459,0.9210526315789475,0.9584199584199584,0.9865209424757339,0.23710104845682506
post_gold,low_1_10,secondary,distinct,500,1.0,1.0,1.0,1.0,1.0,,,0.002126043319702162
post_gold,low_1_10,secondary,inverse,1,0.0,0.0,0.0,0.0,0.0,,,0.9805532097816467
post_gold,low_1_10,secondary,itemRequiresStatement,1297,0.9838087895142636,0.9838087895142636,0.9838087895142636,1.0,0.9918383210260396,0.8181071801761457,0.9959481805259918,0.008325429677779366
post_gold,low_1_10,secondary,oneOf,4,1.0,1.0,1.0,1.0,1.0,,,0.14772607386112213
post_gold,low_1_10,secondary,single,787,1.0,1.0,1.0,1.0,1.0,,,0.0025974318972082806
post_gold,low_1_10,secondary,symmetric,1,1.0,1.0,1.0,1.0,1.0,,,0.0008971691131591797
post_gold,low_1_10,secondary,type,510,0.9117647058823529,0.9,0.9190283400809717,0.9763440860215054,0.9468196037539104,0.8500836320191159,0.9793513187859333,0.04011111541413785
post_gold,low_1_10,secondary,valueRequiresStatement,5,1.0,1.0,1.0,1.0,1.0,,,0.03966956138610844
post_gold,low_1_10,secondary,valueType,108,0.9166666666666666,0.9722222222222222,0.98,0.98989898989899,0.9849246231155778,0.9169472502805837,0.9897102969860023,0.09470813617938101
post_gold,medium_11_100,primary,conflictWith,122,0.9918032786885246,0.9836065573770492,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.4297520661157025,0.9931535735847187,0.04040935953132442
post_gold,medium_11_100,primary,distinct,39,1.0,1.0,1.0,1.0,1.0,,,0.02756431011053228
post_gold,medium_11_100,primary,inverse,65,0.9076923076923077,0.9076923076923077,0.9076923076923077,1.0,0.9516129032258065,0.9943502824858758,0.9994302403523891,0.07980180520277756
post_gold,medium_11_100,primary,itemRequiresStatement,360,1.0,1.0,1.0,1.0,1.0,,,0.013265180918905436
post_gold,medium_11_100,primary,oneOf,41,0.975609756097561,0.975609756097561,0.975609756097561,1.0,0.9876543209876543,0.45,0.9811201593576216,0.03391506613754647
post_gold,medium_11_100,primary,single,339,1.0,1.0,1.0,1.0,1.0,,,0.0008805357249437318
post_gold,medium_11_100,primary,symmetric,39,1.0,1.0,1.0,1.0,1.0,,,0.005161532988915085
post_gold,medium_11_100,primary,type,94,0.9361702127659575,0.9361702127659575,0.9361702127659575,1.0,0.967032967032967,0.8693181818181819,0.9904674529738563,0.06205404438871029
post_gold,medium_11_100,primary,valueRequiresStatement,1,1.0,1.0,1.0,1.0,1.0,,,0.16181182861328125
post_gold,medium_11_100,primary,valueType,15,1.0,1.0,1.0,1.0,1.0,,,0.0019534468650818093
post_gold,medium_11_100,secondary,conflictWith,1242,0.78341384863124,0.892914653784219,0.9545454545454546,0.9064748201438849,0.9298892988929889,0.9560589446658286,0.9865895517127463,0.1736941922507807
post_gold,medium_11_100,secondary,distinct,4723,1.0,0.9997882701672666,1.0,0.9997882701672666,0.9998941238750663,,,0.005153828544458186
post_gold,medium_11_100,secondary,inverse,16,1.0,0.9375,1.0,0.9375,0.967741935483871,,,0.06859369948506358
post_gold,medium_11_100,secondary,itemRequiresStatement,13499,0.9886658270983035,0.9886658270983035,0.9886658270983035,1.0,0.9943006146395976,0.8268473381659973,0.99704610835643,0.002051165275409843
post_gold,medium_11_100,secondary,oneOf,18,1.0,1.0,1.0,1.0,1.0,,,0.11122587985462609
post_gold,medium_11_100,secondary,single,7365,0.9991853360488798,0.9991853360488798,0.9991853360488798,1.0,0.9995925020374898,0.7224487022693302,0.9995950819797608,0.001302120989872665
post_gold,medium_11_100,secondary,symmetric,2,1.0,1.0,1.0,1.0,1.0,,,0.0001882016658782959
post_gold,medium_11_100,secondary,type,5587,0.9366386253803473,0.9362806515124396,0.9439286364463864,0.9908274412382955,0.9668096214805145,0.8580925482676756,0.9844826081539995,0.02419237947200615
post_gold,medium_11_100,secondary,valueRequiresStatement,102,1.0,1.0,1.0,1.0,1.0,,,0.03137740434384814
post_gold,medium_11_100,secondary,valueType,1380,0.8978260869565218,0.9188405797101449,0.9454545454545454,0.9652945924132365,0.9552715654952076,0.8444038031127825,0.9733151974721475,0.07233457942316984
post_gold,unseen,primary,conflictWith,2,1.0,1.0,1.0,1.0,1.0,,,0.11773338913917542
post_gold,unseen,primary,itemRequiresStatement,4,1.0,1.0,1.0,1.0,1.0,,,0.015976563096046448
post_gold,unseen,primary,single,2,1.0,1.0,1.0,1.0,1.0,,,0.0003427565097808838
post_gold,unseen,primary,symmetric,1,1.0,1.0,1.0,1.0,1.0,,,0.0002917647361755371
post_gold,unseen,primary,type,4,1.0,1.0,1.0,1.0,1.0,,,0.020993515849113464
post_gold,unseen,secondary,conflictWith,4,0.5,0.25,0.3333333333333333,0.5,0.4,0.5,0.75,0.37636976689100266
post_gold,unseen,secondary,distinct,39,1.0,1.0,1.0,1.0,1.0,,,0.0007481773694356653
post_gold,unseen,secondary,itemRequiresStatement,88,1.0,1.0,1.0,1.0,1.0,,,0.012469218535856808
post_gold,unseen,secondary,single,59,1.0,1.0,1.0,1.0,1.0,,,0.0007199847092063116
post_gold,unseen,secondary,type,35,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,0.9855072463768115,0.9705882352941176,0.9991596638655462,0.035125301565442746
post_gold,unseen,secondary,valueType,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353,0.5,0.9317956349206349,0.10040692488352465
pre,high_gt100,primary,conflictWith,14813,0.9705663943833119,0.9503139134543982,0.9843761096513032,0.9641093413090353,0.9741373251809685,0.9347005889248438,0.9977171131727428,0.03146011796298236
pre,high_gt100,primary,distinct,34189,0.2514551463921144,0.9923367164877592,0.9966630914074603,0.9727812027451437,0.9845773487167412,0.9993429339887281,0.9985931942563369,0.7449753015340411
