variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.0019960079807788134,0.011976048350334167
no_factor_pressure,17_64,-0.5082341392360404,-0.4880925041337497,-0.020536708480713317,0.0007324020602799478,-0.18621463228932114,-0.11018739665625565,87088,0.691622257232666,0.5292271375656128,3.1753628253936768
no_factor_pressure,2_4,-0.1653339238917802,-0.10275319567354957,-0.003031792854801707,-0.000983284169124877,-0.000983284169124877,-0.009832841691248762,2034,0.2826941907405853,0.10881678014993668,0.6529006958007812
no_factor_pressure,5_16,-0.3624945671568501,-0.24800681431005112,-0.015538265633663118,-0.0023548405030517083,-0.012637137989778575,-0.057989778534923486,14675,0.5294037461280823,0.2613174319267273,1.5679045915603638
no_factor_pressure,65_plus,-0.3478368117521731,-0.3945796909941045,-0.004697904363003214,-8.645683596318534e-05,-0.06378679428474947,-0.029147184387070646,39352,0.5728044509887695,0.41507843136787415,2.4904706478118896
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.4282143350893735,-0.41696904280727537,-0.019218847821073304,-0.0003760203826404223,-0.1855962802100684,-0.09776318206871204,87088,0.60617995262146,0.4618470072746277,2.7710821628570557
primary_only_pressure,2_4,-0.02238973678389744,-0.02015732546705995,-0.0004097017371353928,0.0,-0.000983284169124877,-0.007374631268436627,2034,0.10422812402248383,0.03294001892209053,0.19764012098312378
primary_only_pressure,5_16,-0.3088067395005299,-0.20112436115843269,-0.013846034336663315,-0.0018404977570224273,-0.01194434980124933,-0.05212947189097117,14675,0.4623509347438812,0.22074957191944122,1.3244974613189697
primary_only_pressure,65_plus,-0.24457713247480378,-0.27081215694246796,-0.005087353116276949,0.0001605716719631691,-0.06346822795082802,-0.02297214881073395,39352,0.45573288202285767,0.28879937529563904,1.732796311378479
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.0019960079807788134,0.011976048350334167
secondary_only_pressure,17_64,-0.016516361485120923,-0.010007119235715511,0.0002804073785046546,-9.309923791593622e-05,-8.260549159927466e-05,-0.0008497152305713129,87088,0.04214128106832504,0.010935299098491669,0.06561179459095001
secondary_only_pressure,2_4,-0.1408366664461741,-0.07964601769911495,-0.001474926253687281,0.0,0.0029498525073746312,-0.000983284169124854,2034,0.20403146743774414,0.08316945284605026,0.4990167021751404
secondary_only_pressure,5_16,-0.019503612549619298,-0.010630323679727383,0.00019355885454674926,-0.00046032729337669095,0.0009522998296422579,-0.00286201022146515,14675,0.07652470469474792,0.02524701878428459,0.15148210525512695
secondary_only_pressure,65_plus,-0.012639294881834684,-0.006708680626143493,0.00034678538122112634,-3.4996407903170254e-05,0.000357671521230965,0.0003049400284609316,39352,0.037075623869895935,0.0086950259283185,0.05217015743255615
