variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.003992015961557627,0.023952096700668335
no_factor_pressure,17_64,-0.521023703573822,-0.4759151662686018,-0.02002505605022553,0.0009273778204267301,-0.184944244351162,-0.16419024435054197,87088,0.6836647987365723,0.5184487700462341,3.1106927394866943
no_factor_pressure,2_4,-0.13035258048032716,-0.08849557522123885,-8.194034742703415e-05,0.0,-0.0004916420845624386,-0.10127826941986229,2034,0.230580136179924,0.1265978366136551,0.7595870494842529
no_factor_pressure,5_16,-0.36226390125375707,-0.2621465076660988,-0.014058099954180059,-0.004490438389927201,-0.010106757524134057,-0.03386712095400335,14675,0.508074939250946,0.25627484917640686,1.5376490354537964
no_factor_pressure,65_plus,-0.3634525539881005,-0.39033594226468793,-0.0062324594259053345,0.0017563424702865885,-0.0627789303558578,-0.05272921325472657,39352,0.6162329912185669,0.41988125443458557,2.519287347793579
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.45327964883245575,-0.41191668197685094,-0.018296797204726212,-0.0006807183430075081,-0.1843276176385292,-0.1565428072753996,87088,0.626400887966156,0.46015334129333496,2.7609200477600098
primary_only_pressure,2_4,-0.04164377913273043,-0.025319567354965544,8.194034742703415e-05,0.0,-0.0004916420845624386,-0.011307767944936042,2034,0.0953785628080368,0.02966240607202053,0.17797443270683289
primary_only_pressure,5_16,-0.32194033595498645,-0.22419080068143105,-0.012190639759633526,-0.006253009341595268,-0.009879613855763811,-0.02875638841567285,14675,0.46037477254867554,0.2178989201784134,1.3073935508728027
primary_only_pressure,65_plus,-0.2865367699003288,-0.2615368977434438,-0.005563890446704689,0.0009506056792162512,-0.06265443413076634,-0.052246391542996595,39352,0.5290455222129822,0.30828166007995605,1.8496899604797363
secondary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.003992015961557627,0.023952096700668335
secondary_only_pressure,17_64,-0.008853206353379273,-0.005873369465368317,0.00024514176889833816,-3.3909430937697355e-05,3.2504528825472168e-06,0.00042485761528565646,87088,0.03568803891539574,0.008562220260500908,0.051373325288295746
secondary_only_pressure,2_4,-0.08701256555057557,-0.06243854473942967,0.0003277613897081366,0.0,0.0004916420845624385,-0.08407079646017701,2034,0.15535889565944672,0.10127826780080795,0.6076695919036865
secondary_only_pressure,5_16,-0.007838465087688595,-0.0036456558773424463,0.0015578275595313773,-0.0011299955013753735,0.001659852356615572,0.00034071550255543315,14675,0.07761499285697937,0.028733674436807632,0.1724020391702652
secondary_only_pressure,65_plus,-0.0031503670062422717,-0.00129599512095957,0.00012208797565882445,-5.944745770121787e-05,1.5366026288599066e-05,-0.0020837568611506985,39352,0.025742020457983017,0.006670563016086817,0.040023379027843475
