index,constraint_id,constraint_type,density_bucket,candidate_count,selected_candidate_index,oracle_candidate_index,non_vacuous_oracle_candidate_index,selected_slots,oracle_slots,non_vacuous_oracle_slots,selected_primary_satisfied,oracle_primary_satisfied,non_vacuous_oracle_primary_satisfied,selected_gfr,oracle_gfr,non_vacuous_oracle_gfr,selected_srr,oracle_srr,non_vacuous_oracle_srr,selected_regressions,oracle_regressions,non_vacuous_oracle_regressions,selected_disruption,oracle_disruption,non_vacuous_oracle_disruption,selected_safe,oracle_safe,selected_non_vacuous_safe,oracle_non_vacuous_safe,selected_focus_deleted,oracle_focus_deleted,selected_vacuous_satisfaction_improvement,oracle_vacuous_satisfaction_improvement
2,71311,type,1,55,18,21,21,"[74195, 29762, 30002, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]",1,1,1,0.99,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
3,53610,type,1,44,8,37,24,"[74195, 29762, 30958, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 0, 0]",1,1,1,0.4782608695652174,0.92,0.9130434782608695,0.55,0.0,0.0,11,0,0,1,1,0,0,1,0,1,0,1,0,1
6,51859,conflictWith,1,44,4,8,,"[74195, 30990, 31172, 0, 0, 0]","[74195, 30990, 0, 0, 0, 0]",,0,0,,0.9545454545454546,1.0,,0.045454545454545456,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
9,59405,distinct,1,42,40,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
10,52213,conflictWith,1,44,0,25,,"[74195, 74196, 33177, 74195, 74196, 74197]","[0, 0, 0, 0, 74196, 74197]",,0,0,,0.8333333333333334,0.9333333333333333,,0.10714285714285714,0.0,,3,0,,2,0,,0,0,0,0,0,0,0,0
14,59405,distinct,1,42,22,22,26,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,0.9375,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
17,67579,type,1,44,19,12,,"[74215, 74214, 74195, 0, 0, 0]","[74215, 29762, 0, 0, 0, 0]",,0,0,,0.4375,0.55,,0.0,0.0,,0,0,,1,0,,0,0,0,0,0,0,0,0
19,51759,type,1,44,23,34,,"[74195, 29852, 33130, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.99,0.9913793103448276,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
20,59405,distinct,1,41,38,21,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 89881, 74214, 74215]",,0,0,,0.967741935483871,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
21,59405,distinct,1,42,41,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
24,65737,valueRequiresStatement,1,41,1,34,,"[74215, 29762, 31113, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5535714285714286,0.576271186440678,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
28,51756,valueType,1,44,17,34,,"[74195, 29762, 75996, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9004149377593361,0.9191919191919192,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
32,59405,distinct,1,42,40,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
33,56980,oneOf,1,66,0,47,,"[74195, 74214, 49393, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.35294117647058826,0.42105263157894735,,0.0,0.0,,0,0,,2,1,,0,0,0,0,1,1,1,1
35,59405,distinct,1,42,38,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
38,59405,distinct,1,42,22,22,26,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
42,56490,valueRequiresStatement,1,42,12,8,,"[74195, 30990, 31172, 0, 0, 0]","[74215, 29762, 35302, 0, 0, 0]",,0,0,,0.95,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,0,0,0
45,50387,inverse,1,42,2,7,,"[74215, 30991, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,0,0,,0.825,0.8414634146341463,,0.014925373134328358,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
46,66339,valueRequiresStatement,1,41,3,36,,"[74215, 74214, 87666, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8695652173913043,0.9206349206349206,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
47,50362,valueType,1,42,3,19,,"[74215, 29762, 89604, 0, 0, 0]","[0, 29762, 89604, 0, 0, 0]",,1,1,,0.7,0.95,,0.3333333333333333,0.0,,6,0,,1,0,,0,1,0,0,0,0,0,0
48,57796,conflictWith,1,43,5,4,,"[74195, 29762, 29900, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]",,1,1,,0.7906976744186046,0.9302325581395349,,0.15384615384615385,0.0,,6,0,,1,0,,0,1,0,0,0,0,0,0
49,51871,oneOf,1,68,0,0,31,"[74195, 74214, 32653, 74195, 74214, 74215]","[74195, 74214, 32653, 74195, 74214, 74215]","[74195, 74214, 0, 0, 0, 0]",1,1,1,0.797752808988764,0.797752808988764,0.7205882352941176,0.0,0.0,0.0,0,0,0,2,2,0,1,1,0,1,1,1,1,1
50,56799,conflictWith,1,43,0,4,,"[74195, 74214, 98872, 74195, 74214, 74215]","[74195, 0, 0, 0, 0, 0]",,0,0,,0.8842975206611571,0.9180327868852459,,0.04504504504504504,0.0,,5,0,,2,0,,0,0,0,0,0,0,0,0
51,66339,valueRequiresStatement,1,41,5,38,,"[74215, 74214, 87666, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.972972972972973,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
52,52397,valueRequiresStatement,1,41,1,34,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4117647058823529,0.65,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
53,51863,type,1,42,2,16,,"[74195, 30990, 31172, 0, 0, 0]","[74195, 0, 31172, 0, 0, 0]",,0,0,,0.8333333333333334,1.0,,0.16666666666666666,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
56,65158,valueType,1,42,5,34,,"[74215, 29762, 35288, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.7432432432432432,0.8045977011494253,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
