variant,density_bucket,delta_fidelity_f1,delta_primary_fix_rate,delta_gfr,delta_srr,delta_sir,delta_disruption_total_ops_mean,prediction_delta_support,prediction_changed_rate,slot_changed_rate,changed_slots_mean
no_factor_pressure,1,0.0,0.0029940119760478723,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.002994012087583542,0.01796407252550125
no_factor_pressure,17_64,-0.42331783709976206,-0.370940887378284,-0.0183693813797432,-0.0010371257123294678,-0.18428471406641245,-0.297251056402719,87088,0.6378031373023987,0.43237873911857605,2.5942723751068115
no_factor_pressure,2_4,-0.026663821352917116,-0.0471976401179941,-0.00032776138970824764,0.0004916420845624385,-0.0009832841691248771,-0.007866273352998943,2034,0.10226155072450638,0.06284824758768082,0.3770894706249237
no_factor_pressure,5_16,-0.33123006397306864,-0.2541056218057921,-0.021616417464797477,0.00974552307431344,-0.009914821124361206,-0.024872231686541735,14675,0.48940375447273254,0.26285064220428467,1.5771039724349976
no_factor_pressure,65_plus,-0.29590220204116097,-0.3534127871518601,-0.0045092180597536835,-0.00043680869399157505,-0.06351208224423721,-0.08406180117910156,39352,0.5605306029319763,0.400911420583725,2.405468702316284
primary_only_pressure,1,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0
primary_only_pressure,17_64,-0.3677343508700876,-0.31285022046665445,-0.017873441534198786,-0.0009384128585701781,-0.1836002104703711,-0.2909815359176924,87088,0.5864183306694031,0.37104806303977966,2.226288318634033
primary_only_pressure,2_4,-0.02114910412270532,-0.04056047197640111,-8.194034742703415e-05,0.0004916420845624385,-0.0009832841691248771,-0.00835791543756137,2034,0.09242871403694153,0.0555555559694767,0.3333333432674408
primary_only_pressure,5_16,-0.30862085767301284,-0.22616695059625214,-0.020056454240440558,0.009085198730854515,-0.00973310618966501,-0.018807495741056224,14675,0.4663713872432709,0.23318569362163544,1.3991141319274902
primary_only_pressure,65_plus,-0.22411957657639436,-0.23205936165887375,-0.004415214775970511,-0.00023624850287930384,-0.06308146494323237,-0.08431591786948578,39352,0.48330453038215637,0.28803279995918274,1.7281967401504517
secondary_only_pressure,1,0.0,0.0029940119760478723,0.0,0.0,0.0,0.0,167,0.011976048350334167,0.002994012087583542,0.01796407252550125
secondary_only_pressure,17_64,-0.00040001067338912843,-0.0003904097005328344,0.0001828803511512156,-5.272852888853034e-05,0.00011435733570652751,-0.0007693367628145431,87088,0.028947731480002403,0.0067766704596579075,0.04066002368927002
secondary_only_pressure,2_4,-0.001449367119889966,-0.004670599803343167,0.0002458210422812135,0.0,0.0009832841691248771,0.001474926253687392,2034,0.0398230105638504,0.015158964321017265,0.0909537822008133
secondary_only_pressure,5_16,0.0027825406641958095,0.0006132879045996908,0.0007676389482186297,-0.00016499873399361195,0.0011464265433601163,0.005247018739352738,14675,0.053356047719717026,0.016501987352967262,0.09901192784309387
secondary_only_pressure,65_plus,-0.0006379700871576022,-0.0009021142508639501,2.6671135072042773e-05,-2.348489080257173e-05,0.0004655111681109575,-0.000431998373653375,39352,0.020100630819797516,0.005069627892225981,0.03041776828467846
