index,constraint_id,constraint_type,density_bucket,candidate_count,selected_candidate_index,oracle_candidate_index,non_vacuous_oracle_candidate_index,selected_slots,oracle_slots,non_vacuous_oracle_slots,selected_primary_satisfied,oracle_primary_satisfied,non_vacuous_oracle_primary_satisfied,selected_gfr,oracle_gfr,non_vacuous_oracle_gfr,selected_srr,oracle_srr,non_vacuous_oracle_srr,selected_regressions,oracle_regressions,non_vacuous_oracle_regressions,selected_disruption,oracle_disruption,non_vacuous_oracle_disruption,selected_safe,oracle_safe,selected_non_vacuous_safe,oracle_non_vacuous_safe,selected_focus_deleted,oracle_focus_deleted,selected_vacuous_satisfaction_improvement,oracle_vacuous_satisfaction_improvement
2,71311,type,1,55,15,19,19,"[74195, 29762, 98872, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]",1,1,1,0.99,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
3,53610,type,1,44,4,36,22,"[74195, 29762, 97982, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 29762, 97982, 0, 0, 0]",1,1,1,0.4782608695652174,0.92,0.9130434782608695,0.55,0.0,0.0,11,0,0,1,1,0,0,1,0,1,0,1,0,1
6,51859,conflictWith,1,44,4,8,,"[74195, 30990, 31172, 0, 0, 0]","[74195, 30990, 0, 0, 0, 0]",,0,0,,0.9545454545454546,1.0,,0.045454545454545456,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
9,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
10,52213,conflictWith,1,44,0,27,,"[74195, 74196, 33177, 74195, 74196, 74197]","[0, 0, 0, 0, 74196, 74197]",,0,0,,0.8333333333333334,0.9333333333333333,,0.10714285714285714,0.0,,3,0,,2,0,,0,0,0,0,0,0,0,0
14,59405,distinct,1,42,22,22,30,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,0.9375,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
19,51759,type,1,45,5,34,,"[74195, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.96,0.9913793103448276,,0.04040404040404041,0.0,,4,0,,1,1,,0,0,0,0,0,1,0,1
21,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
22,51435,valueType,1,44,4,35,,"[74215, 29762, 75994, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.35714285714285715,0.5428571428571428,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
24,65737,valueRequiresStatement,1,42,2,41,,"[74215, 29762, 31113, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5535714285714286,0.576271186440678,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
26,62202,valueRequiresStatement,1,41,1,28,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.5211267605633803,0.5903614457831325,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
28,51756,valueType,1,44,4,33,,"[74215, 29762, 31447, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9004149377593361,0.9191919191919192,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
32,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
33,56980,oneOf,1,66,0,46,,"[74195, 74214, 49393, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.35294117647058826,0.42105263157894735,,0.0,0.0,,0,0,,2,1,,0,0,0,0,1,1,1,1
35,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
38,59405,distinct,1,42,22,22,27,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
42,56490,valueRequiresStatement,1,41,1,3,,"[74215, 29803, 74477, 0, 0, 0]","[74215, 29803, 35302, 0, 0, 0]",,0,0,,0.95,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,0,0,0
45,50387,inverse,1,42,2,5,,"[74215, 30991, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,0,0,,0.825,0.8414634146341463,,0.014925373134328358,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
46,66339,valueRequiresStatement,1,41,1,36,,"[74215, 74214, 95244, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8695652173913043,0.9206349206349206,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
47,50362,valueType,1,42,2,12,,"[74195, 29762, 89604, 0, 0, 0]","[0, 29762, 89604, 0, 0, 0]",,1,1,,0.7,0.95,,0.3333333333333333,0.0,,6,0,,1,0,,0,1,0,0,0,0,0,0
49,51871,oneOf,1,68,0,0,32,"[74195, 74214, 32653, 74195, 74214, 74215]","[74195, 74214, 32653, 74195, 74214, 74215]","[74195, 74214, 0, 0, 0, 0]",1,1,1,0.797752808988764,0.797752808988764,0.7205882352941176,0.0,0.0,0.0,0,0,0,2,2,0,1,1,0,1,1,1,1,1
51,66339,valueRequiresStatement,1,41,1,34,,"[74215, 74214, 95244, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.972972972972973,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
52,52397,valueRequiresStatement,1,41,1,32,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4117647058823529,0.65,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
56,65158,valueType,1,42,2,32,,"[74215, 29762, 38587, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.7432432432432432,0.8045977011494253,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
57,57383,inverse,1,42,2,39,,"[74215, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4117647058823529,0.47368421052631576,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
61,62202,valueRequiresStatement,1,41,1,32,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6888888888888889,0.7884615384615384,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
63,52397,valueRequiresStatement,1,41,1,32,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.375,0.5555555555555556,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
67,52397,valueRequiresStatement,1,41,1,34,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6176470588235294,0.75,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
69,64322,valueType,1,45,5,34,,"[74215, 29762, 31362, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.959409594095941,0.9693251533742331,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
71,62202,valueRequiresStatement,1,41,1,35,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6428571428571429,0.734375,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
