model_id,artifact_group,run_directory,artifact_present,support,primary_fix_rate,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,gfr_local_satisfaction,sir_secondary_improvement,srr_secondary_regression,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean,focus_preserved_rate,focus_deleted_rate,candidate_deletes_focus_rate,non_vacuous_primary_fix_rate,vacuous_satisfaction_improvement_rate,oracle_safe_available_rate,selected_safe_rate,oracle_non_vacuous_safe_available_rate,selected_non_vacuous_safe_rate,oracle_focus_deleted_rate,selected_focus_deleted_rate,oracle_vacuous_satisfaction_improvement_rate,selected_vacuous_satisfaction_improvement_rate,oracle_gfr,selected_gfr,oracle_sir,selected_sir,oracle_srr,selected_srr,deletion_prediction_exact_match_rate,deletion_metric_equivalent_rate,h2_normal_fidelity_f1,h2_normal_primary_fix_rate,h2_normal_gfr,h2_normal_sir,h2_normal_srr,h2_no_factor_delta_fidelity_f1,h2_no_factor_delta_primary_fix_rate,h2_no_factor_prediction_changed_rate,h2_primary_only_delta_fidelity_f1,h2_primary_only_delta_primary_fix_rate,h2_primary_only_prediction_changed_rate,h2_secondary_only_delta_fidelity_f1,h2_secondary_only_delta_primary_fix_rate,h2_secondary_only_prediction_changed_rate,factor_semantics_rows,factor_semantics_imbalance_rows,factor_semantics_mean_f1,factor_semantics_mean_auroc,factor_semantics_mean_auprc,factor_semantics_mean_ece,notes
B0,learned,models/b0_eswc_reproduction__full_strat1m_minocc100__node_id,true,143316,0.8603226437,0.5603278666,0.5274051486,0.5433682671,0.5679148458,0.524976547,0.5450558236,0.8704935256,0.1924875404,0.009666699045,0.5205350414,0.4831142371,1.003649279,1.003649279,0.2827318652,0.2489533618,0.4352828714,0.1118437578,0.2365960535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,learned,models/a1_factorized_imitation__full_strat1m_minocc100__node_id,true,143316,0.8589027045,0.6894427558,0.6679317881,0.6785168247,0.6637660816,0.6309185834,0.6463808414,0.8638118725,0.1396975844,0.01275664111,0.5714714338,0.4615604678,1.033031902,1.033031902,0.3348614251,0.1968238019,0.3634555807,0.1127578219,0.1845711574,0.299164085,0.2467763543,0.09611627453,0.05963046694,0.4342850763,0.1968586899,0.4236930978,0.1845990678,0.9035891172,0.863826333,0.1606223455,0.0722246123,0.0004641841876,0.006592728692,,,0.6785168247,0.8589027045,0.8638118725,0.1396975844,0.01275664111,-0.427048299,-0.4173783806,0.6250802279,-0.3800559045,-0.3492213012,0.5725599527,-0.001374394822,-0.001639733177,0.02691255696,20,9,0.9808624449,0.8974582466,0.9893353758,0.1037652457,
M1C,learned,models/m1c_safe_factor_chooser__full_strat1m_minocc100__node_id_gamma_0_2,true,143316,0.8155928159,0.6200806209,0.6200643903,0.6200725055,0.6417969559,0.6417782648,0.6417876095,0.8628832328,0.1157681908,0.01319210148,0.5966884367,0.469584694,1.066273131,1.066273131,0.3532124815,0.1784727455,0.3434229256,0.1349325965,0.1647687627,0.2992338608,0.2409849563,0.09616511764,0.0579139803,0.4339361969,0.1781308437,0.4233442184,0.1644966368,0.9038036683,0.8628734842,0.1613219062,0.06678402416,0.0004588776013,0.00707177745,,,0.6792730077,0.8554069329,0.8626511824,0.1393853704,0.01413169095,-0.4545405212,-0.4244745876,0.6399564743,-0.3867768631,-0.3454359597,0.5744020343,-0.008186145232,-0.005184347875,0.0389209874,20,9,0.9804402336,0.876632533,0.9880338783,0.1031699861,
M1D,learned,models/m1d_safe_factor_direct__full_strat1m_minocc100__node_id,true,143316,0.8587526864,0.690072261,0.6649020403,0.6772533676,0.6737421422,0.6326311042,0.6516557288,0.8660897831,0.1396308713,0.01025338906,0.5703061766,0.4571017891,1.027407966,1.027407966,0.3348544475,0.1968307795,0.3637346842,0.1117600268,0.1848083954,0.29857099,0.2508024226,0.09552317955,0.06007703257,0.4347804851,0.1968447347,0.4241885065,0.1848293282,0.9037825665,0.8660886364,0.1614611765,0.07226851161,0.0004642443257,0.005551142252,,,0.6669354543,0.8533834324,0.8660978605,0.1396744856,0.01030211274,-0.3713899282,-0.3491340813,0.5930600762,-0.315645999,-0.2775614726,0.5381185412,-0.0001510526448,-0.0004849423651,0.02914538421,20,9,0.9796231038,0.8834463168,0.9889127605,0.1074677469,
G0,reranker,models/g0_globalfix_reference__full_strat1m_minocc100__node_id,true,143316,0.717449552,0.2897373636,0.2717219176,0.2804406113,0.3163293438,0.2482162751,0.2750289225,0.9098391585,0.2440977197,0.009103046677,0,1,1,1,0,0.5316852271,1,0,0.4613581177,,,,,,,,,,,,,,,0.01892321862,1,,,,,,,,,,,,,,,,,,,,,
H2_no_factor_loss,h2_ablation,models/h2_a1_no_factor_loss__full_strat1m_minocc100__node_id,true,143316,0.8565861453,0.6855274594,0.6606486147,0.6728581426,0.6660426568,0.6257134954,0.6443376979,0.8648552954,0.1404784623,0.01198810137,0.564354294,0.4632490441,1.027603338,1.027603338,0.3335566161,0.1981286109,0.3648441207,0.1117809596,0.1857852578,,,,,,,,,,,,,,,,,0.6728581426,0.8565861453,0.8648552954,0.1404784623,0.01198810137,-0.4355249604,-0.4068108236,0.640884459,-0.3818243564,-0.3321262106,0.5887967944,0.0002659411426,-0.0004640096012,0.02463786304,,,,,,,
H2_shared_pressure,h2_ablation,models/h2_a1_shared_pressure__full_strat1m_minocc100__node_id,true,143316,0.8638323704,0.6903344671,0.6693648654,0.6796879672,0.6679351374,0.6364958744,0.6513759472,0.8652273351,0.1420747978,0.01156897811,0.5637053783,0.4702056993,1.033911078,1.033911078,0.3338426973,0.1978425298,0.3745639008,0.1133369617,0.1854921991,,,,,,,,,,,,,,,,,0.6796879672,0.8638323704,0.8652273351,0.1420747978,0.01156897811,-0.5185525851,-0.3821345837,0.7457715869,-0.3478970683,-0.2357936309,0.5842195153,-0.03542082183,-0.02016522928,0.08198665828,,,,,,,
H1_DeleteFocusBaseline,heuristic,models/baselines/full_strat1m_minocc100/parquet,true,143316,0.717449552,0.2897373636,0.2717219176,0.2804406113,0.3163293438,0.2482162751,0.2750289225,0.9098391585,0.2440977197,0.009103046677,0,1,1,1,,0.5316852271,1,0,0.4613581177,,,,,,,,,,,,,,,0.01892321862,1,,,,,,,,,,,,,,,,,,,,,Evidence-preservation fields for H1 copied from G0/H1 deletion-degeneracy audit.
H2_AddMirrorBaseline,heuristic,models/baselines/full_strat1m_minocc100/parquet,true,143316,0.515682129,0.2814479035,0.02762763549,0.05031611439,0.03127198927,0.03055700307,0.03091036215,0.8543523814,0.0001386878679,0.004295347528,0.1046707974,0,0.1046707974,0.1046707974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3_ConstraintFamilyMajority,heuristic,models/baselines/full_strat1m_minocc100/parquet,true,143316,0.7730748835,0.2731668791,0.2580193433,0.2653771344,0.2620630559,0.2594514888,0.260090897,0.8689010308,0.1917037222,0.01032154031,0.5305269474,0.476646013,1.00717296,1.00717296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
